product,year,samples_count,countries_count
milk,2011,934,11
butter,2011,330,6
milk,2012,1249,12
butter,2012,559,18
milk,2013,1345,21
butter,2013,280,8
milk,2014,1315,15
butter,2014,514,8
milk,2015,1347,17
butter,2015,654,15
milk,2016,1234,23
butter,2016,175,9
milk,2017,998,14
butter,2017,94,5
milk,2018,977,13
butter,2018,277,6
milk,2019,2353,21
butter,2019,69,4
milk,2020,1452,12
butter,2020,23,3
milk,2021,881,14
butter,2021,255,4
milk,2022,1450,19
butter,2022,66,3
milk,2023,1285,22
butter,2023,134,3
