country,year,product,limit
AT,2012,butter,12
AT,2013,milk,12
AT,2015,butter,12
AT,2016,milk,12
AT,2019,milk,12
AT,2022,milk,15
BE,2012,butter,12
BE,2013,milk,12
BE,2015,butter,12
BE,2016,milk,12
BE,2019,milk,12
BE,2022,milk,15
BG,2012,butter,12
BG,2013,milk,12
BG,2015,butter,12
BG,2016,milk,12
BG,2019,milk,12
BG,2022,milk,15
HR,2015,butter,12
HR,2016,milk,12
HR,2019,milk,12
HR,2022,milk,15
CY,2012,butter,12
CY,2013,milk,12
CY,2015,butter,12
CY,2016,milk,12
CY,2019,milk,12
CY,2022,milk,12
CZ,2012,butter,12
CZ,2013,milk,12
CZ,2015,butter,12
CZ,2016,milk,12
CZ,2019,milk,12
CZ,2022,milk,15
DK,2012,butter,12
DK,2013,milk,12
DK,2015,butter,12
DK,2016,milk,12
DK,2019,milk,12
DK,2022,milk,12
EE,2012,butter,12
EE,2013,milk,12
EE,2015,butter,12
EE,2016,milk,12
EE,2019,milk,12
EE,2022,milk,12
FI,2012,butter,12
FI,2013,milk,12
FI,2015,butter,12
FI,2016,milk,12
FI,2019,milk,12
FI,2022,milk,12
FR,2012,butter,66
FR,2013,milk,66
FR,2015,butter,66
FR,2016,milk,66
FR,2019,milk,71
FR,2022,milk,78
DE,2012,butter,93
DE,2013,milk,93
DE,2015,butter,93
DE,2016,milk,93
DE,2019,milk,97
DE,2022,milk,106
GR,2012,butter,12
GR,2013,milk,12
GR,2015,butter,12
GR,2016,milk,12
GR,2019,milk,12
GR,2022,milk,15
HU,2012,butter,12
HU,2013,milk,12
HU,2015,butter,12
HU,2016,milk,12
HU,2019,milk,12
HU,2022,milk,15
IE,2012,butter,12
IE,2013,milk,12
IE,2015,butter,12
IE,2016,milk,12
IE,2019,milk,12
IE,2022,milk,12
IT,2012,butter,65
IT,2013,milk,65
IT,2015,butter,65
IT,2016,milk,65
IT,2019,milk,69
IT,2022,milk,75
LV,2012,butter,12
LV,2013,milk,12
LV,2015,butter,12
LV,2016,milk,12
LV,2019,milk,12
LV,2022,milk,12
LT,2012,butter,12
LT,2013,milk,12
LT,2015,butter,12
LT,2016,milk,12
LT,2019,milk,12
LT,2022,milk,12
LU,2012,butter,12
LU,2013,milk,12
LU,2015,butter,12
LU,2016,milk,12
LU,2019,milk,12
LU,2022,milk,12
MT,2012,butter,12
MT,2013,milk,12
MT,2015,butter,12
MT,2016,milk,12
MT,2019,milk,12
MT,2022,milk,12
NL,2012,butter,17
NL,2013,milk,17
NL,2015,butter,17
NL,2016,milk,17
NL,2019,milk,18
NL,2022,milk,20
PL,2012,butter,45
PL,2013,milk,45
PL,2015,butter,45
PL,2016,milk,45
PL,2019,milk,47
PL,2022,milk,51
PT,2012,butter,12
PT,2013,milk,12
PT,2015,butter,12
PT,2016,milk,12
PT,2019,milk,12
PT,2022,milk,15
RO,2012,butter,17
RO,2013,milk,17
RO,2015,butter,17
RO,2016,milk,17
RO,2019,milk,20
RO,2022,milk,22
SK,2012,butter,12
SK,2013,milk,12
SK,2015,butter,12
SK,2016,milk,12
SK,2019,milk,12
SK,2022,milk,12
SI,2012,butter,12
SI,2013,milk,12
SI,2015,butter,12
SI,2016,milk,12
SI,2019,milk,12
SI,2022,milk,12
ES,2012,butter,45
ES,2013,milk,45
ES,2015,butter,45
ES,2016,milk,45
ES,2019,milk,50
ES,2022,milk,55
SE,2012,butter,12
SE,2013,milk,12
SE,2015,butter,12
SE,2016,milk,12
SE,2019,milk,12
SE,2022,milk,15
XI,2022,milk,12
GB,2012,butter,66
GB,2013,milk,66
GB,2015,butter,66
GB,2016,milk,66
GB,2019,milk,71
NO,2012,butter,0
NO,2013,milk,0
NO,2015,butter,0
NO,2016,milk,0
NO,2019,milk,0
NO,2022,milk,0
IS,2012,butter,0
IS,2013,milk,0
IS,2015,butter,0
IS,2016,milk,0
IS,2019,milk,0
IS,2022,milk,0
BA,2012,butter,0
BA,2013,milk,0
BA,2015,butter,0
BA,2016,milk,0
BA,2019,milk,0
BA,2022,milk,0
MK,2012,butter,0
MK,2013,milk,0
MK,2015,butter,0
MK,2016,milk,0
MK,2019,milk,0
MK,2022,milk,0
MN,2012,butter,0
MN,2013,milk,0
MN,2015,butter,0
MN,2016,milk,0
MN,2019,milk,0
MN,2022,milk,0
