Lp,Country,Participation,% partycypacji,współczynnik,kolor
1,AT,8,100,800,5
2,BA,1,"12,5","12,5",2
3,BE,8,100,800,5
4,BG,2,25,20,2
5,CY,8,100,800,5
6,CZ,7,"87,5","612,5",4
7,DE,8,100,800,5
8,DK,7,"87,5","612,5",5
9,EE,7,"87,5","612,5",4
10,ES,8,100,800,5
11,FI,7,"87,5","612,5",5
12,FR,5,"62,5","312,5",4
13,GB,6,"85,71428571","514,2857143",3
14,GR,6,75,450,3
15,HR,4,100,400,4
16,HU,4,50,200,2
17,IE,8,100,800,5
18,IT,7,"87,5","612,5",4
19,LT,7,"87,5","612,5",4
20,LU,5,"62,5","312,5",5
21,LV,8,100,800,5
22,MN,0,0,0,1
23,MK,0,0,0,1
24,MT,7,"87,5","612,5",4
25,NL,8,100,800,5
26,NO,7,100,700,5
27,PL,8,100,800,5
28,PT,5,"62,5","312,5",2
29,RO,6,75,450,5
30,SE,8,100,800,5
31,SI,8,100,800,5
32,SK,8,100,800,5
33,XI,1,100,100,2
34,IS,0,0,0,1
