Lp,Country,Participation,% partycypacji
1,AT,9,"64,28571429"
2,BA,2,"15,38461538"
3,BE,12,"85,71428571"
4,BG,2,"14,28571429"
5,CY,11,"78,57142857"
6,CZ,10,"71,42857143"
7,DE,13,"92,85714286"
8,DK,14,100
9,EE,3,"21,42857143"
10,ES,14,100
11,FI,0,0
12,FR,11,"78,57142857"
13,GB,10,100
14,GR,7,50
15,HR,5,50
16,HU,11,"78,57142857"
17,IE,13,"92,85714286"
18,IT,14,100
19,LT,7,50
20,LU,4,"28,57142857"
21,LV,2,"14,28571429"
22,MN,2,"15,38461538"
23,MK,2,"15,38461538"
24,MT,3,"21,42857143"
25,NL,7,50
26,NO,3,"21,42857143"
27,PL,10,"71,42857143"
28,PT,2,"14,28571429"
29,RO,10,"71,42857143"
30,SE,5,"35,71428571"
31,SI,12,"85,71428571"
32,SK,2,"14,28571429"
33,XI,4,100
34,IS,0,0
