,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year
1513338,5402AE1E366503A8B0188253FDEF502F,CZ,CZ,A039C,,,K018A,RF-0119-001-PPP,0.0024,,VAL,2024
1513342,5402AE1E366503A8B0188253FDEF502F,CZ,CZ,A039C,,,K018A,RF-0119-002-PPP,0.0024,,VAL,2024
1513364,A9D3D82B3C924E4B8E193950C315817F,CZ,CZ,A039C,,,K018A,RF-0119-002-PPP,0.0007,,VAL,2024
1513498,BACA20C89F9372FB92166369046B94A7,CZ,CZ,A039C,,,K018A,RF-0237-001-PPP,0.002,,VAL,2024
1513516,BACA20C89F9372FB92166369046B94A7,CZ,CZ,A039C,,,K018A,RF-0119-002-PPP,0.003,,VAL,2024
1513517,BACA20C89F9372FB92166369046B94A7,CZ,CZ,A039C,,,K018A,RF-0119-001-PPP,0.003,,VAL,2024
1532536,39249440E103759DEF034A9007B4F388,DE,DE,A039C,,,K005A,RF-0119-002-PPP,0.005,,VAL,2024
1532541,39249440E103759DEF034A9007B4F388,DE,DE,A039C,,,K005A,RF-0119-001-PPP,0.005,,VAL,2024
1533729,C49E348C6BF2C336AF6AFD8084C21BC6,DE,DE,A039C,,,K005A,RF-0237-001-PPP,0.005,,VAL,2024
1534045,F01E6975D219E1BDB1E67A3634930B81,DE,DE,A039C,,,K005A,RF-0277-001-PPP,0.0054,,VAL,2024
1534918,8DA0CA0377AC7D24B945D93805797E47,DE,DE,A039C,,,K005A,RF-0237-001-PPP,0.001,,VAL,2024
1534929,8DA0CA0377AC7D24B945D93805797E47,DE,DE,A039C,,,K005A,RF-0263-001-PPP,0.001,,VAL,2024
1535118,E0B2996119E3A382796CCA29B71D256E,DE,DE,A039C,,,K005A,RF-0119-001-PPP,0.014,,VAL,2024
1535124,E0B2996119E3A382796CCA29B71D256E,DE,DE,A039C,,,K005A,RF-0119-002-PPP,0.013,,VAL,2024
1535564,9996E4EBA646737ED97C669C3A90B492,DE,DK,A039C,,,K005A,RF-0237-001-PPP,0.001,,VAL,2024
1535579,9996E4EBA646737ED97C669C3A90B492,DE,DK,A039C,,,K005A,RF-0263-001-PPP,0.001,,VAL,2024
1536526,2EB97CEB64D3535A5505A92D3B7A6767,DE,DE,A039C,,,K005A,RF-0119-001-PPP,0.0065,,VAL,2024
1536588,2EB97CEB64D3535A5505A92D3B7A6767,DE,DE,A039C,,,K005A,RF-0119-002-PPP,0.0058,,VAL,2024
1537529,91FD480F83C021CAC6D4F8B43DC584A6,DE,DE,A039C,,,K005A,RF-0237-001-PPP,0.001,,VAL,2024
1537531,91FD480F83C021CAC6D4F8B43DC584A6,DE,DE,A039C,,,K005A,RF-0263-001-PPP,0.001,,VAL,2024
1539586,D0BE135AB4143B9A5962B97869DD7846,DE,DE,A039C,,,K005A,RF-0119-002-PPP,0.001,,VAL,2024
