,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year
1513153,38D970439E876E35D629A4AA6A604FD6,CY,CY,A02LV,,,K018A,RF-0102-001-PPP,0.059,,LOQ,2024
1513155,2F2673AA5D70F3BAFB8512CC47124EFA,CY,CY,A02LV,,,K018A,RF-0102-001-PPP,0.035,,LOQ,2024
1513156,6254236356581D878132D1580789DDBE,CY,CY,A02LV,,,K018A,RF-0102-001-PPP,0.035,,LOQ,2024
1513157,D707515F445CD31C17F6D5B68D1A832A,CY,CY,A02LV,,,K018A,RF-0102-001-PPP,0.04,,LOQ,2024
1513558,937D3B2C0BA245EEBDBFA7A1CE1201B5,CZ,CZ,A02LX,,,K018A,RF-0102-001-PPP,0.07,,VAL,2024
1513601,464775D41B3B8495AA3A5835EB17FA4D,CZ,CZ,A02LX,,,K018A,RF-0102-001-PPP,0.06,,VAL,2024
1513812,855296030B3EDEA059C80F5DC54A6BC2,CZ,CZ,A02LX,,,K018A,RF-0119-002-PPP,0.006,,VAL,2024
1513830,855296030B3EDEA059C80F5DC54A6BC2,CZ,CZ,A02LX,,,K018A,RF-0119-001-PPP,0.007,,VAL,2024
1513882,390D156563E12D95F7B49369FF1D207E,CZ,CZ,A02LX,,,K018A,RF-0102-001-PPP,0.05,,VAL,2024
1514010,B06CE0715F4EBA552AC49EDCF5321E70,CZ,CZ,A02LX,,,K018A,RF-0102-001-PPP,0.12,,VAL,2024
1514022,C68818EC5E5F063707F124525D86ECAB,CZ,CZ,A02LX,,,K018A,RF-0119-002-PPP,0.0008,,VAL,2024
1514046,988F5E3DCFEB12F33DDB4543ADF485E0,CZ,CZ,A02LX,,,K018A,RF-0102-001-PPP,0.07,,VAL,2024
1514266,04E724F97E04CF8E4BB593D2A8B4890E,CZ,CZ,A02LX,,,K018A,RF-0102-001-PPP,0.1,,VAL,2024
1514388,2E8AC6AF7969F0FD348D62A183036021,CZ,CZ,A02LX,,,K018A,RF-0102-001-PPP,0.06,,VAL,2024
1514488,B223037C4AAF4E0C2FE5B5FEE7CD460F,DE,CH,A02LQ,,,K005A,RF-0277-001-PPP,0.0016,,VAL,2024
1514491,5830911FDD9774CE7F409E0A091D9980,DE,CH,A02LQ,,,K005A,RF-0277-001-PPP,0.0015,,VAL,2024
1516119,5A04785B0E8C420F641E0EEDA6C492C0,DE,DE,A02LV,,,K005A,RF-0237-001-PPP,7e-05,,VAL,2024
