,customSampleId,pesticideCount,pesticideCode,tag,resVal,resType
0,06C2C,1,RF-0239-002-PPP,HCH-beta,0.016,VAL
1,06C2C,1,RF-0021-001-PPP,Dieldrin (sum),,LOQ
2,06C2C,1,RF-0238-001-PPP,HCH-alpha,,LOQ
3,06C2C,1,RF-0263-001-PPP,Lindane,,LOQ
4,06C2C,1,RF-0236-005-PPP,Heptachlor (sum),,LOQ
5,06C2C,1,RF-0237-001-PPP,Hexachlorobenzene,,LOQ
6,06C2C,1,RF-0236-001-PPP,Heptachlor (sum),,LOQ
7,06C2C,1,RF-0236-004-PPP,Heptachlor (sum),,LOQ
8,06C2C,1,RF-0119-007-PPP,DDT (sum),,LOQ
9,06C2C,1,RF-0156-001-PPP,Endrin,,LOQ
10,06C2C,1,RF-0119-004-PPP,DDT (sum),,LOQ
11,06C2C,1,RF-0119-006-PPP,DDT (sum),,LOQ
12,06C2C,1,RF-0119-002-PPP,DDT (sum),,LOQ
13,06C2C,1,RF-0119-003-PPP,DDT (sum),,LOQ
14,06C2C,1,RF-0075-004-PPP,Chlordane (sum),,LOQ
15,06C2C,1,RF-0119-001-PPP,DDT (sum),,LOQ
16,06C2C,1,RF-0075-005-PPP,Chlordane (sum),,LOQ
17,06C2C,1,RF-0075-003-PPP,Chlordane (sum),,LOQ
18,06C2C,1,RF-0021-002-PPP,Dieldrin (sum),,LOQ
19,06C2C,1,RF-0021-003-PPP,Dieldrin (sum),,LOQ
20,0C03E,2,RF-0797-001-PPP,Mirex,,LOQ
21,0C03E,2,RF-0295-001-PPP,Methoxychlor,,LOQ
22,0C03E,2,RF-0690-005-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
23,0C03E,2,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
24,0C03E,2,RF-0075-005-PPP,Chlordane (sum),,LOQ
25,0C03E,2,RF-0240-004-PPP,HCH (sum),,LOQ
26,0C03E,2,RF-0156-001-PPP,Endrin,,LOQ
27,0C03E,2,RF-0236-001-PPP,Heptachlor (sum),,LOQ
28,0C03E,2,RF-0238-001-PPP,HCH-alpha,,LOQ
29,0C03E,2,RF-0123-001-PPP,Diazinon,,LOQ
30,0C03E,2,RF-0263-001-PPP,Lindane,,LOQ
31,0C03E,2,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
32,0C03E,2,RF-0837-001-PPP,Pentachloroanisole,,LOQ
33,0C03E,2,RF-0842-001-PPP,Permethrin (sum),,LOQ
34,0C03E,2,RF-0021-001-PPP,Dieldrin (sum),,LOQ
35,0C03E,2,RF-0406-001-PPP,Tecnazene,,LOQ
36,0C03E,2,RF-0866-001-PPP,Propetamphos,,LOQ
37,0C03E,2,RF-0237-001-PPP,Hexachlorobenzene,0.002,VAL
38,0C03E,2,RF-0120-001-PPP,Deltamethrin,,LOQ
39,0C03E,2,RF-0515-001-PPP,Bromocyclen,,LOQ
40,0C03E,2,RF-0155-001-PPP,Endosulfan (sum),,LOQ
41,0C03E,2,RF-0690-004-PPP,Fenvalerate and Esfenvalerate (sum of isomers),,LOQ
42,0C03E,2,RF-0653-001-PPP,Endrin ketone,,LOQ
43,0C03E,2,RF-0239-002-PPP,HCH-beta,,LOQ
44,0C03E,2,RF-0119-001-PPP,DDT (sum),0.001,VAL
45,0C03E,2,RF-0311-001-PPP,Nitrofen,,LOQ
46,0C03E,2,RF-0112-002-PPP,Cypermethrin (sum),,LOQ
47,0C03E,2,RF-0736-001-PPP,HCH (sum),,LOQ
48,0C11B,2,RF-0120-001-PPP,Deltamethrin,,LOQ
49,0C11B,2,RF-0238-001-PPP,HCH-alpha,,LOQ
50,0C11B,2,RF-0842-001-PPP,Permethrin (sum),,LOQ
51,0C11B,2,RF-0123-001-PPP,Diazinon,,LOQ
52,0C11B,2,RF-0155-001-PPP,Endosulfan (sum),,LOQ
53,0C11B,2,RF-0108-001-PPP,Cyfluthrin (sum),,LOQ
54,0C11B,2,RF-0837-001-PPP,Pentachloroanisole,,LOQ
55,0C11B,2,RF-0653-001-PPP,Endrin ketone,,LOQ
56,0C11B,2,RF-0112-001-PPP,Cypermethrin (sum),,LOQ
57,0C11B,2,RF-0119-001-PPP,DDT (sum),0.001,VAL
58,0C11B,2,RF-0797-001-PPP,Mirex,,LOQ
59,0C11B,2,RF-0021-001-PPP,Dieldrin (sum),,LOQ
60,0C11B,2,RF-0240-004-PPP,HCH (sum),,LOQ
61,0C11B,2,RF-0236-001-PPP,Heptachlor (sum),,LOQ
62,0C11B,2,RF-0075-005-PPP,Chlordane (sum),,LOQ
63,0C11B,2,RF-0736-001-PPP,HCH (sum),,LOQ
64,0C11B,2,RF-0295-001-PPP,Methoxychlor,,LOQ
65,0C11B,2,RF-0239-002-PPP,HCH-beta,,LOQ
66,0C11B,2,RF-0311-001-PPP,Nitrofen,,LOQ
67,0C11B,2,RF-0406-001-PPP,Tecnazene,,LOQ
68,0C11B,2,RF-0112-002-PPP,Cypermethrin (sum),,LOQ
69,0C11B,2,RF-0866-001-PPP,Propetamphos,,LOQ
