,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year
86045,FDB1D0E6B6EF95921CF1CB1106B5C48C,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,89.48,,VAL,2012
306722,C9D161747AB63D7F9CB6BDBA46F85F18,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,29.8,,VAL,2014
306741,F25715AD0DB32AB76402D75D94A7FBBD,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,21.8,,VAL,2014
392329,4754B8766265C49DE26A047265D6CB18,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,20.9,,VAL,2015
392165,17BDEF50B3278994DBEC4800DD913083,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,19.65,,VAL,2015
1631612,F2B74A0F2316B23494F46D6D1C8265BD,MK,MK,A02LY,,,K005A,RF-0102-001-PPP,15.85,,LOQ,2024
297026,5CD6188742FA64554A52BC8520F3F697,DE,DE,P1020010A,,T999A,K005A,RF-00002582-PAR,13.98,,VAL,2014
306765,84E1633D9277884A87F8E11AECBE766F,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,9.31,,VAL,2014
1631558,8C51CC7313D7E7BE5396058014DD2C01,MK,MK,A02LY,,,K005A,RF-0102-001-PPP,9.1,,LOQ,2024
1631672,CD1BCF72989AE3AC79E89949D2C38642,MK,MK,A02LY,,,K005A,RF-0102-001-PPP,8.05,,LOQ,2024
1368637,6095290FAFA5F2BAFC7A1A4C226FAD14,NL,NL,A02LV,,,K018A,RF-0050-001-PPP,7.5,,VAL,2022
297005,DAD17D5E1E2AB0B0050C3C3196E5C51F,DE,DE,P1020010A,,T999A,K005A,RF-00002582-PAR,7.03,,VAL,2014
1631660,123306CC465D0BA9352749D73A76341B,MK,MK,A02LY,,,K005A,RF-0102-001-PPP,6.85,,LOQ,2024
392182,589BEEDDDA7EAEBE4DEC54C6F81C7D26,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,6.74,,VAL,2015
392176,C9FD2F050FE594A9A4578C0F2115EC7C,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,6.74,,VAL,2015
1369797,2B1CEB73FE08BFF8C8267DCB30B4A53B,NL,NL,A02LV,,,K018A,RF-0050-001-PPP,6.4,,VAL,2022
392178,589BEEDDDA7EAEBE4DEC54C6F81C7D26,DE,DE,P1020010A,,T999A,K005A,RF-00002582-PAR,6.25,,VAL,2015
1369627,F10FD785B550646AEAB49F8BDDB78199,NL,NL,A02LV,,,K018A,RF-0050-001-PPP,5.5,,VAL,2022
306745,4350A8AB6F3A2942623A700C4CB191F8,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,4.82,,VAL,2014
392547,3C937A9476911E7040BEC01EEBBBA5DF,DE,DE,P1020010A,,T999A,K005A,RF-1078-002-PPP,4.82,,VAL,2015
