,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
4,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0406-001-PPP,0.03,80.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
13,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0237-001-PPP,0.015,80.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
14,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0842-001-PPP,0.01,80.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
18,9C546FD6EEF9033680D7D88C330AF075,CZ,CZ,P1020010A,A.01.001029,T134A,K018A,RF-0373-001-PPP,0.02,3.8,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
23,66B8D2FAAFE5920952CB40EED71652F9,CZ,CZ,P1020010A,A.01.001040,T134A,K018A,RF-0156-001-PPP,0.001,1.51,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
28,E9EDB81EBB05E5E9A05B9124EDD3A3DB,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0406-001-PPP,0.03,-1.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
34,E7DA8F12518246A7D5E11AADCD7EFA3A,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0842-001-PPP,0.01,-1.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
41,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0156-001-PPP,0.001,80.0,LOQ,2011,Endrin (sum),Endrin,Endrin,RF-0156-001-PPP,0.0008,True
44,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0351-001-PPP,0.02,80.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
49,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0373-001-PPP,0.02,80.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
56,9C546FD6EEF9033680D7D88C330AF075,CZ,CZ,P1020010A,A.01.001029,T134A,K018A,RF-0328-003-PPP,0.02,3.8,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
63,66B8D2FAAFE5920952CB40EED71652F9,CZ,CZ,P1020010A,A.01.001040,T134A,K018A,RF-0351-001-PPP,0.02,1.51,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
68,66B8D2FAAFE5920952CB40EED71652F9,CZ,CZ,P1020010A,A.01.001040,T134A,K018A,RF-0373-001-PPP,0.02,1.51,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
73,DCC5A193E0243FC0FCF7D5AC453A56B1,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0373-001-PPP,0.02,-1.0,LOQ,2011,Pyrazophos,Pyrazophos,Pyrazophos,RF-0373-001-PPP,0.01,True
77,E7DA8F12518246A7D5E11AADCD7EFA3A,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0351-001-PPP,0.02,-1.0,LOQ,2011,Profenofos,Profenofos,Profenofos,RF-0351-001-PPP,0.01,True
81,391042BF4AEFC3BB133E1B30F22A12E1,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0406-001-PPP,0.03,82.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
90,391042BF4AEFC3BB133E1B30F22A12E1,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0237-001-PPP,0.011,82.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
96,A5A85B6394B58A00F7E75DA76F35D8C9,CZ,CZ,P1020010A,A.01.001348,T134A,K018A,RF-0328-003-PPP,0.02,80.0,LOQ,2011,Parathion-methyl (sum),Parathion-methyl (sum),Parathion-methyl,RF-0328-003-PPP,0.01,True
101,D08E911491CC32D0C46A8DEF280D1E41,CZ,CZ,P1020010A,A.01.001030,T134A,K018A,RF-0406-001-PPP,0.03,2.7,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
103,7D4EA8B5FE17551064D6039EF0151826,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0406-001-PPP,0.03,-1.0,LOQ,2011,Tecnazene,Tecnazene,Tecnazene,RF-0406-001-PPP,0.01,True
114,7D4EA8B5FE17551064D6039EF0151826,CZ,CZ,P1020010A,A.01.000953,T134A,K018A,RF-0842-001-PPP,0.01,-1.0,LOQ,2011,Permethrin (sum),Permethrin (sum),Permethrin (sum of isomers),RF-0842-001-PPP,0.0,True
