,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
1046,28DF3D139305C409C4AC8FD389245572,AT,AT,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.00055,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
1217,3510D7184E251B49397F9490117FDC2C,AT,AT,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.00035,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
2199,B2407DFC9549A7E4B537B24CC4E67EAD,CY,CY,P1020010A,A.01.000950,T999A,K005A,RF-0119-002-PPP,0.002,3.4,VAL,2011,DDT (sum),"DDE, p,p-","DDE, p,p-",RF-0119-002-PPP,0.04,True
2202,B2407DFC9549A7E4B537B24CC4E67EAD,CY,CY,P1020010A,A.01.000950,T999A,K005A,RF-0119-001-PPP,0.00223,3.4,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3448,D488583CF001D11A85DF5DC4D2FF0E81,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3568,D488583CF001D11A85DF5DC4D2FF0E81,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0009,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3680,77BFC6109B2B16C803678BABB6BC3CF5,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3686,77BFC6109B2B16C803678BABB6BC3CF5,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00021,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3764,45147AD27C4839247D501F211AD472DF,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3815,49F41F5117B3E13DB880F9B090B8C142,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3816,CB960EC3852C9017E27E269931D583B3,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3828,4867FE3FE253E51D889640A7FEAE3A4D,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0018,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3843,59473294855851A60351A7A088619260,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3853,16FDB47ADAEA9215B33A5C545987973D,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3864,E019AD9C521C6C4036700E5EBF18BDA1,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3870,8700AD17113EC7137E02D23254C32D70,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.003,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3880,84F01FB61CF9E1AFF6469627983AB440,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3885,CF6D3E5F8EE39CF7053E256DA8480F8C,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0007,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3918,98926E38ED7EDF33BA4667468F0D9927,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3927,CB471F5F2E573FA0AAAB330AA59089B7,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
3950,5AD0D688DEC9DA583EBE6BCED75D5937,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3986,86415F0EF08ECEBF180E333741835DFE,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0009,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
3997,20F816EFEF4891273C388ED18C42FDDC,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4018,D2C54B2581902AA75CAA3D1962D5AFB1,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4020,5595F8C97C060D649A0010DA8E032887,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4024,54F5C0F6747C5F0186744F265BE5CCA0,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4027,838A8B2B808EB25F17245B381478F31E,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4031,7C8C4E07C15E8812D64EE10C3B55DF7E,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4036,30ACBD61D36303AD30DCF3F8A0DCE9B7,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4043,E28727D1F0731F0937D488B13E775873,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4051,B15D3AEF2D8ED1774C9FB3DAD68880E6,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.00022,-1.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4052,29B1A232D2BAECFB829C2D21A0FC394B,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.00012,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4057,D476D58FC1E112B3539313CEF74C3CEC,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.00012,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4068,1115EC9170D03ADA206779DDCD1DF10A,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4073,C6AD95AED301EAE97C94B5B392E048C8,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4077,59473294855851A60351A7A088619260,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4081,D0CF0C393B5A9DD2CAA6AB0F0C9ABF26,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.001,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4088,96B55A2BA43DD7B858AD1E86F95CA8E0,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0006,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4113,E019AD9C521C6C4036700E5EBF18BDA1,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4114,04AD05635A24B1C2A6FD30B97DD6414E,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0007,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
4205,EB7A97021CE4F105FA83C609321589E4,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,4e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4212,FF2BD6FB57537A02763A499B0E51CA62,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
4231,3D06329529F31D6EFE7C132A9C056755,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
