,paramcode,tag,long_name,obligatory,voluntary,total_samples
169,RF-0079-001-PPP,Chlorfenvinphos,Chlorfenvinphos,611.0,1266.0,1877.0
312,RF-0236-003-PPP,Heptachlor (sum),"Heptachlorepoxide, trans-",628.0,826.0,1454.0
381,RF-0311-001-PPP,Nitrofen,Nitrofen,389.0,935.0,1324.0
354,RF-0288-001-PPP,Methacrifos,Methacrifos,463.0,727.0,1190.0
509,RF-0442-001-PPP,Trifluralin,Trifluralin,398.0,787.0,1185.0
621,RF-0653-001-PPP,Endrin (sum),Endrin ketone (expressed as endrin),116.0,885.0,1001.0
547,RF-0515-001-PPP,Bromocyclen,Bromocyclen,147.0,833.0,980.0
411,RF-0338-002-PPP,Phosmet (sum),Phosmet,252.0,690.0,942.0
516,RF-0450-003-PPP,Vinclozolin,Vinclozolin,269.0,584.0,853.0
340,RF-0266-003-PPP,Malathion (sum),Malathion,312.0,497.0,809.0
242,RF-0157-001-PPP,Epoxiconazole,Epoxiconazole,212.0,574.0,786.0
267,RF-0180-001-PPP,Fenitrothion,Fenitrothion,284.0,436.0,720.0
662,RF-0736-001-PPP,HCH (sum),"HCH, delta-",236.0,478.0,714.0
246,RF-0161-001-PPP,Ethion,Ethion,251.0,433.0,684.0
573,RF-0571-001-PPP,Coumaphos,Coumaphos,167.0,516.0,683.0
194,RF-0113-001-PPP,Cyproconazole (sum),Cyproconazole,226.0,432.0,658.0
338,RF-0266-001-PPP,Malathion (sum),Malathion (sum of malathion and malaoxon expressed as malathion),285.0,367.0,652.0
455,RF-0383-003-PPP,Quintozene (sum),Pentachloroaniline,240.0,411.0,651.0
695,RF-0797-001-PPP,Mirex,Mirex,136.0,429.0,565.0
414,RF-0342-001-PPP,Phoxim,Phoxim,117.0,443.0,560.0
726,RF-0866-001-PPP,Propetamphos,Propetamphos,108.0,442.0,550.0
270,RF-0183-001-PPP,Fenpropathrin,Fenpropathrin,196.0,351.0,547.0
315,RF-0240-003-PPP,HCH (sum),"Hexachlorocyclohexane (HCH), sum of isomers, except the gamma isomer",282.0,238.0,520.0
484,RF-0417-001-PPP,Thiacloprid,Thiacloprid,127.0,385.0,512.0
469,RF-0403-001-PPP,Tebuconazole (sum),Tebuconazole,223.0,283.0,506.0
428,RF-0357-001-PPP,Propargite,Propargite,113.0,372.0,485.0
