,paramcode,tag,long_name,obligatory,voluntary,total_samples
225,RF-0079-001-PPP,Chlorfenvinphos,Chlorfenvinphos,1776.0,7427.0,9203.0
498,RF-0342-001-PPP,Phoxim,Phoxim,1912.0,5671.0,7583.0
462,RF-0311-001-PPP,Nitrofen,Nitrofen,1300.0,6032.0,7332.0
434,RF-0288-001-PPP,Methacrifos,Methacrifos,1326.0,5391.0,6717.0
416,RF-0266-003-PPP,Malathion (sum),Malathion,1500.0,4995.0,6495.0
495,RF-0338-002-PPP,Phosmet (sum),Phosmet,1444.0,4694.0,6138.0
610,RF-0442-001-PPP,Trifluralin,Trifluralin,1374.0,4754.0,6128.0
414,RF-0266-001-PPP,Malathion (sum),Malathion (sum of malathion and malaoxon expressed as malathion),1297.0,4551.0,5848.0
724,RF-0571-001-PPP,Coumaphos,Coumaphos,1121.0,4252.0,5373.0
583,RF-0417-001-PPP,Thiacloprid,Thiacloprid,1116.0,3871.0,4987.0
415,RF-0266-002-PPP,Malathion (sum),Malaoxon,1061.0,3821.0,4882.0
557,RF-0393-001-PPP,Spinosad (sum),"Spinosad (spinosad, sum of spinosyn A and spinosyn D)",971.0,3834.0,4805.0
518,RF-0361-001-PPP,Propoxur,Propoxur,839.0,3823.0,4662.0
255,RF-0113-001-PPP,Cyproconazole (sum),Cyproconazole,895.0,3643.0,4538.0
334,RF-0180-001-PPP,Fenitrothion,Fenitrothion,924.0,3585.0,4509.0
308,RF-0157-001-PPP,Epoxiconazole,Epoxiconazole,816.0,3670.0,4486.0
686,RF-0528-001-PPP,Cadusafos,Cadusafos,784.0,3624.0,4408.0
984,RF-0866-001-PPP,Propetamphos,Propetamphos,852.0,3358.0,4210.0
435,RF-0289-001-PPP,Methamidophos,Methamidophos,896.0,3183.0,4079.0
618,RF-0450-003-PPP,Vinclozolin,Vinclozolin,920.0,3149.0,4069.0
986,RF-0868-001-PPP,Prothioconazole (sum),Prothioconazole: prothioconazole-desthio (sum of isomers),695.0,3324.0,4019.0
269,RF-0127-001-PPP,Dichlorvos,Dichlorvos,776.0,3203.0,3979.0
287,RF-0139-002-PPP,Dimethoate (sum),Omethoate,693.0,3227.0,3920.0
316,RF-0164-001-PPP,Ethoprophos,Ethoprophos,580.0,3304.0,3884.0
199,RF-0051-001-PPP,Bromophos-ethyl,Bromophos-ethyl,607.0,3154.0,3761.0
570,RF-0407-001-PPP,Teflubenzuron,Teflubenzuron,794.0,2950.0,3744.0
312,RF-0161-001-PPP,Ethion,Ethion,988.0,2696.0,3684.0
584,RF-0418-001-PPP,Thiamethoxam (sum),Thiamethoxam,839.0,2838.0,3677.0
336,RF-0182-001-PPP,Fenoxycarb,Fenoxycarb,617.0,3050.0,3667.0
567,RF-0403-001-PPP,Tebuconazole (sum),Tebuconazole,1015.0,2645.0,3660.0
445,RF-0293-003-PPP,Methomyl and Thiodicarb (sum),Methomyl,849.0,2739.0,3588.0
