,Unnamed: 0,country,year,limit,unique_sample_count,success,obligaotry_samples,voluntary_samples,obligatory_success
0,0.0,AT,2013,12,297.0,True,9,288,False
1,1.0,AT,2016,12,79.0,True,15,64,True
2,2.0,AT,2019,12,32.0,True,32,20,True
3,3.0,AT,2022,15,10.0,False,10,10,False
4,4.0,BE,2013,12,74.0,True,15,59,True
5,5.0,BE,2016,12,65.0,True,15,65,True
6,6.0,BE,2019,12,11.0,False,11,11,False
7,7.0,BE,2022,15,16.0,True,16,16,True
8,8.0,BG,2013,12,14.0,True,14,14,True
9,9.0,BG,2016,12,15.0,True,0,15,False
10,10.0,BG,2019,12,0.0,False,0,0,False
11,11.0,BG,2022,15,0.0,False,0,0,False
12,12.0,HR,2016,12,33.0,True,33,33,True
13,13.0,HR,2019,12,15.0,True,15,15,True
14,14.0,HR,2022,15,14.0,False,14,14,False
15,15.0,CY,2013,12,30.0,True,15,15,True
16,16.0,CY,2016,12,26.0,True,15,26,True
17,17.0,CY,2019,12,12.0,True,12,12,True
18,18.0,CY,2022,12,12.0,True,12,0,True
19,19.0,CZ,2013,12,16.0,True,16,16,True
20,20.0,CZ,2016,12,15.0,True,15,15,True
21,21.0,CZ,2019,12,14.0,True,14,0,True
22,22.0,CZ,2022,15,14.0,False,14,0,False
23,23.0,DK,2013,12,15.0,True,15,15,True
24,24.0,DK,2016,12,15.0,True,15,15,True
25,25.0,DK,2019,12,21.0,True,21,21,True
26,26.0,DK,2022,12,49.0,True,49,49,True
27,27.0,EE,2013,12,13.0,True,13,13,True
28,28.0,EE,2016,12,14.0,True,14,14,True
29,29.0,EE,2019,12,13.0,True,13,13,True
30,30.0,EE,2022,12,0.0,False,0,0,False
31,31.0,FI,2013,12,14.0,True,14,0,True
32,32.0,FI,2016,12,20.0,True,20,0,True
33,33.0,FI,2019,12,12.0,True,12,0,True
34,34.0,FI,2022,12,12.0,True,12,0,True
35,35.0,FR,2013,66,68.0,True,66,68,True
36,36.0,FR,2016,66,67.0,True,67,67,True
