,sampleId,sampCountry,origCountry,year,resVal,pesticideCode
298463,BBD34A4012CB94F140E9A5377DDC91AC,DE,CH,2014,8.05,RF-0102-001-PPP
1119386,913A0DB86B5D05557C9560E99645FF60,DE,DE,2021,2.24,RF-0102-001-PPP
1119599,DD56ED7A4B2FCFBA8EE63AC291111820,DE,DE,2021,1.65,RF-00002582-PAR
1119601,DD56ED7A4B2FCFBA8EE63AC291111820,DE,DE,2021,1.65,RF-1078-006-PPP
66674,CF9FF3A3098B9FC00B88CF3FDBC0ADC6,DE,DE,2012,1.2,RF-0102-001-PPP
298455,36646768B3FEE9154D7359F80E5335F8,DE,NL,2014,1.14,RF-0102-001-PPP
1119248,AE031C9095E4A04526617FF6C37F83A9,DE,DE,2021,1.101,RF-0102-001-PPP
86067,1E3C704112C9785FC9806BE31F5AFEE6,DE,DE,2012,1.1,RF-XXXX-XXX-XXX
298445,F374FABB74570D50C34C50062EA90BAD,DE,DE,2014,1.08,RF-0102-001-PPP
298450,FDB50F69F782217AD804EB35932730EA,DE,DE,2014,1.08,RF-0102-001-PPP
298364,D5216ACDFCEE0107D4E424E6ECD25716,DE,DE,2014,0.91,RF-0102-001-PPP
86068,626D758A62B8705CA8ECD2ED4F8B847B,DE,DE,2012,0.82,RF-XXXX-XXX-XXX
86066,3085724A9D3B5D9F9CBB3388412318F1,DE,DE,2012,0.81,RF-XXXX-XXX-XXX
298361,4DC4A4583EA5FD0A1EEDD1EADCB79EEA,DE,DE,2014,0.756,RF-0102-001-PPP
370295,DEE35EEA7E106E6A978AF118A1D1C13D,GB,NL,2014,0.7,RF-1078-002-PPP
298454,8D6B8FEDD39D006582523638D7E72053,DE,DE,2014,0.7,RF-0102-001-PPP
298372,68D072F5B4F8F82B8767D7DF03BCB6C2,DE,DE,2014,0.64,RF-0102-001-PPP
86065,FF8D2E38132D64CD8BE3FDBC8913B441,DE,DE,2012,0.59,RF-XXXX-XXX-XXX
1119817,89A0FFABD8F487582E19546CE9018D48,DE,DE,2021,0.576,RF-0102-001-PPP
66678,98455300A6584C9F6E14B8AEE475CA72,DE,DE,2012,0.56,RF-0102-001-PPP
476078,35105554F6A0FCD86E16A840F63B46FF,GB,GB,2015,0.5,RF-00002582-PAR
495120,276CC4781D6307D509DCD415565FEB73,GB,GB,2015,0.5,RF-00002582-PAR
298527,3954B1984FA48E27B8F82302DAC7FD01,DE,NL,2014,0.475,RF-0102-001-PPP
298502,8C92872BD3F87792797D168693BD15D1,DE,DE,2014,0.46,RF-0102-001-PPP
298510,459D506CA66A4E052A599099474EF4F1,DE,NL,2014,0.46,RF-0102-001-PPP
298363,0FD41E4776496FF790F6B582415EC00E,DE,DE,2014,0.45,RF-0102-001-PPP
298491,81467BFEC6C38B19677CB07D15763068,DE,DE,2014,0.45,RF-0102-001-PPP
298476,14E27A8711ED0C520E37224330CD6F93,DE,NL,2014,0.45,RF-0102-001-PPP
298517,28C3329E21AAC285FAA479EF3F6E794F,DE,DE,2014,0.445,RF-0102-001-PPP
86064,FC1BA9521E0AB82015516B6491BB8295,DE,DE,2012,0.44,RF-XXXX-XXX-XXX
