,sampleId,sampCountry,origCountry,year,resVal,pesticideCode
86045,FDB1D0E6B6EF95921CF1CB1106B5C48C,DE,DE,2012,89.48,RF-1078-002-PPP
306722,C9D161747AB63D7F9CB6BDBA46F85F18,DE,DE,2014,29.8,RF-1078-002-PPP
306741,F25715AD0DB32AB76402D75D94A7FBBD,DE,DE,2014,21.8,RF-1078-002-PPP
392329,4754B8766265C49DE26A047265D6CB18,DE,DE,2015,20.9,RF-1078-002-PPP
392165,17BDEF50B3278994DBEC4800DD913083,DE,DE,2015,19.65,RF-1078-002-PPP
1631612,F2B74A0F2316B23494F46D6D1C8265BD,MK,MK,2024,15.85,RF-0102-001-PPP
297026,5CD6188742FA64554A52BC8520F3F697,DE,DE,2014,13.98,RF-00002582-PAR
306765,84E1633D9277884A87F8E11AECBE766F,DE,DE,2014,9.31,RF-1078-002-PPP
1631558,8C51CC7313D7E7BE5396058014DD2C01,MK,MK,2024,9.1,RF-0102-001-PPP
1631672,CD1BCF72989AE3AC79E89949D2C38642,MK,MK,2024,8.05,RF-0102-001-PPP
1368637,6095290FAFA5F2BAFC7A1A4C226FAD14,NL,NL,2022,7.5,RF-0050-001-PPP
297005,DAD17D5E1E2AB0B0050C3C3196E5C51F,DE,DE,2014,7.03,RF-00002582-PAR
1631660,123306CC465D0BA9352749D73A76341B,MK,MK,2024,6.85,RF-0102-001-PPP
392182,589BEEDDDA7EAEBE4DEC54C6F81C7D26,DE,DE,2015,6.74,RF-1078-002-PPP
392176,C9FD2F050FE594A9A4578C0F2115EC7C,DE,DE,2015,6.74,RF-1078-002-PPP
1369797,2B1CEB73FE08BFF8C8267DCB30B4A53B,NL,NL,2022,6.4,RF-0050-001-PPP
392178,589BEEDDDA7EAEBE4DEC54C6F81C7D26,DE,DE,2015,6.25,RF-00002582-PAR
1369627,F10FD785B550646AEAB49F8BDDB78199,NL,NL,2022,5.5,RF-0050-001-PPP
306745,4350A8AB6F3A2942623A700C4CB191F8,DE,DE,2014,4.82,RF-1078-002-PPP
392547,3C937A9476911E7040BEC01EEBBBA5DF,DE,DE,2015,4.82,RF-1078-002-PPP
392186,8CE3A25B2AF01C4CC8858EBDB54705CB,DE,DE,2015,4.54,RF-1078-002-PPP
392383,EBAC7D859C5DE0168EF0EF2DD81DA689,DE,DE,2015,4.28,RF-1078-002-PPP
392179,755996130FEACF0C06228A4A0ADD74FE,DE,DE,2015,3.88,RF-1078-002-PPP
1370855,41440A33711361B2B85318DAF8314445,NL,NL,2022,3.4,RF-0050-001-PPP
392550,3C937A9476911E7040BEC01EEBBBA5DF,DE,DE,2015,3.21,RF-00002582-PAR
297002,7AF8BFDA0933FC9D751FCB4443BF7A15,DE,DE,2014,3.01,RF-00002582-PAR
382517,7923F6E8B078E4C840B7AB5C83BD0B0B,DE,DE,2015,2.9,RF-00002582-PAR
1369968,EA3AF8DC0540865E5AD5C6E56C32D007,NL,NL,2022,2.7,RF-0050-001-PPP
1371172,0022D5F0608E3798A0CE0109CF15C1A5,NL,DE,2022,2.5,RF-0050-001-PPP
1370675,92CD4024E22E3AA6F9E9762292B7A7A5,NL,NL,2022,2.4,RF-0050-001-PPP
