,sampCountry,year,obligaotry_samples,voluntary_samples
0,AT,2012,15.0,0.0
1,AT,2014,0.0,8.0
2,AT,2015,15.0,84.0
3,AT,2016,0.0,49.0
4,AT,2017,0.0,2.0
5,AT,2018,0.0,1.0
6,BE,2011,0.0,51.0
7,BE,2012,14.0,25.0
8,BE,2013,0.0,50.0
9,BE,2014,0.0,49.0
10,BE,2015,15.0,0.0
11,BG,2012,13.0,13.0
12,CY,2012,15.0,0.0
13,CY,2015,15.0,0.0
14,CZ,2011,0.0,15.0
15,CZ,2012,18.0,18.0
16,CZ,2013,0.0,6.0
17,CZ,2014,0.0,9.0
18,CZ,2015,20.0,20.0
19,CZ,2016,0.0,20.0
20,CZ,2017,0.0,19.0
21,CZ,2018,0.0,17.0
22,CZ,2019,0.0,12.0
23,CZ,2020,0.0,12.0
24,CZ,2021,0.0,12.0
25,CZ,2022,0.0,12.0
26,CZ,2023,0.0,11.0
27,CZ,2024,0.0,9.0
28,DE,2011,0.0,145.0
29,DE,2012,110.0,160.0
30,DE,2013,0.0,163.0
31,DE,2014,0.0,286.0
32,DE,2015,113.0,89.0
33,DE,2016,0.0,38.0
34,DE,2017,0.0,40.0
35,DE,2018,0.0,204.0
36,DE,2019,0.0,41.0
37,DE,2021,0.0,234.0
38,DE,2022,0.0,45.0
39,DE,2023,0.0,115.0
40,DE,2024,0.0,171.0
41,DK,2012,8.0,14.0
42,DK,2015,6.0,6.0
43,DK,2021,0.0,1.0
44,DK,2024,0.0,1.0
45,EE,2012,15.0,15.0
46,EE,2015,15.0,15.0
47,ES,2012,21.0,3.0
48,ES,2015,72.0,10.0
49,ES,2016,0.0,16.0
50,ES,2017,0.0,3.0
51,ES,2018,0.0,1.0
52,FI,2012,18.0,0.0
53,FI,2015,8.0,0.0
54,FR,2012,60.0,0.0
55,FR,2019,0.0,4.0
56,GB,2012,92.0,92.0
57,GB,2014,0.0,72.0
58,GB,2015,107.0,187.0
59,GB,2018,0.0,36.0
60,GR,2012,15.0,15.0
61,GR,2015,13.0,13.0
62,HR,2015,26.0,26.0
63,HU,2011,0.0,58.0
64,HU,2012,9.0,1.0
65,HU,2013,0.0,2.0
66,HU,2014,0.0,1.0
67,HU,2015,15.0,15.0
68,IE,2012,15.0,15.0
69,IE,2015,15.0,0.0
70,IE,2016,0.0,6.0
71,IT,2011,0.0,10.0
72,IT,2012,13.0,17.0
73,IT,2013,0.0,7.0
74,IT,2014,0.0,59.0
75,IT,2015,51.0,102.0
76,IT,2016,0.0,29.0
77,IT,2017,0.0,30.0
78,IT,2018,0.0,18.0
79,IT,2019,0.0,12.0
80,IT,2020,0.0,5.0
81,IT,2021,0.0,8.0
82,IT,2022,0.0,9.0
83,IT,2023,0.0,8.0
84,IT,2024,0.0,9.0
85,LT,2012,15.0,15.0
86,LT,2015,14.0,0.0
87,LV,2012,15.0,0.0
88,LV,2015,15.0,0.0
89,MT,2012,15.0,15.0
90,MT,2015,4.0,4.0
91,MT,2016,0.0,2.0
92,NL,2012,21.0,21.0
93,NL,2015,23.0,23.0
94,NO,2012,15.0,0.0
95,NO,2015,15.0,0.0
96,PL,2011,0.0,51.0
97,PL,2012,88.0,89.0
98,PL,2013,0.0,50.0
99,PL,2014,0.0,30.0
100,PL,2015,45.0,45.0
101,PL,2016,0.0,5.0
102,RO,2012,16.0,16.0
103,RO,2013,0.0,1.0
104,SE,2012,30.0,0.0
105,SE,2015,30.0,0.0
106,SI,2012,15.0,15.0
107,SI,2015,15.0,15.0
108,SI,2016,0.0,10.0
109,SI,2020,0.0,6.0
110,SI,2024,0.0,2.0
111,SK,2012,15.0,0.0
112,SK,2013,0.0,1.0
113,SK,2015,15.0,0.0
