,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
28,AT,2011,Hexachlorobenzene,21,0.0,0.0,0.0,2.0,0.0004,0.0001
87,AT,2012,Hexachlorobenzene,21,0.0,0.0,0.0,1.0,0.0003,0.0
306,AT,2015,Hexachlorobenzene,75,7.0,0.0159,0.0078,0.0,0.0,0.0
602,AT,2022,Copper compounds,10,0.0,0.0,0.0,10.0,0.0457,0.0148
751,BE,2011,Chlordane (sum),21,1.0,0.0415,0.0,0.0,0.0,0.0
755,BE,2011,DDT (sum),21,2.0,0.0533,0.0123,4.0,0.0158,0.0031
758,BE,2011,Dieldrin (sum),21,3.0,0.0139,0.0025,0.0,0.0,0.0
764,BE,2011,HCH-beta,21,5.0,0.0198,0.0093,1.0,0.01,0.0
765,BE,2011,Heptachlor (sum),21,1.0,0.0296,0.0,0.0,0.0,0.0
766,BE,2011,Hexachlorobenzene,21,3.0,0.0112,0.0009,0.0,0.0,0.0
788,BE,2012,HCH-beta,18,1.0,0.012,0.0,0.0,0.0,0.0
789,BE,2012,Heptachlor (sum),18,1.0,0.0153,0.0,0.0,0.0,0.0
790,BE,2012,Hexachlorobenzene,18,1.0,0.01,0.0,0.0,0.0,0.0
812,BE,2013,Endosulfan (sum),45,0.0,0.0,0.0,3.0,0.0198,0.0031
821,BE,2013,HCH-beta,45,2.0,0.0201,0.0053,0.0,0.0,0.0
822,BE,2013,Heptachlor (sum),45,4.0,0.0172,0.0079,0.0,0.0,0.0
823,BE,2013,Hexachlorobenzene,45,2.0,0.0182,0.0112,0.0,0.0,0.0
826,BE,2013,Methoxychlor,45,1.0,0.0348,0.0,0.0,0.0,0.0
841,BE,2014,DDT (sum),49,0.0,0.0,0.0,3.0,0.0007,0.0004
844,BE,2014,Dieldrin (sum),49,0.0,0.0,0.0,2.0,0.0011,0.0008
845,BE,2014,Endosulfan (sum),49,0.0,0.0,0.0,2.0,0.0005,0.0002
851,BE,2014,HCH-beta,49,0.0,0.0,0.0,5.0,0.0006,0.0005
853,BE,2014,Hexachlorobenzene,49,0.0,0.0,0.0,2.0,0.0009,0.0006
865,BE,2015,DDT (sum),12,0.0,0.0,0.0,2.0,0.0114,0.0004
875,BE,2015,HCH-beta,12,1.0,0.0105,0.0,0.0,0.0,0.0
895,BE,2016,DDT (sum),40,1.0,0.058,0.0,5.0,0.0234,0.0084
899,BE,2016,Dieldrin (sum),40,1.0,0.0138,0.0,0.0,0.0,0.0
911,BE,2016,HCH-beta,40,1.0,0.011,0.0,0.0,0.0,0.0
