,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
39,AT,2012,Hexachlorobenzene,15,2.0,0.0055,0.0006,0.0,0.0,0.0
168,BG,2012,DDT (sum),13,0.0,0.0,0.0,11.0,0.0118,0.0071
394,CY,2015,DDT (sum),15,1.0,0.074,0.0057,2.0,0.0196,0.0084
462,CZ,2012,Chlorpropham (sum),18,0.0,0.0,0.0,1.0,0.023,0.0
467,CZ,2012,DDT (sum),18,0.0,0.0,0.0,18.0,0.0048,0.002
474,CZ,2012,Famoxadone,18,0.0,0.0,0.0,1.0,0.002,0.0
484,CZ,2012,Hexachlorobenzene,18,0.0,0.0,0.0,18.0,0.0026,0.0008
485,CZ,2012,Indoxacarb (sum),18,0.0,0.0,0.0,1.0,0.003,0.0
505,CZ,2015,DDT (sum),20,0.0,0.0,0.0,18.0,0.0103,0.0043
516,CZ,2015,Hexachlorobenzene,20,14.0,0.007,0.0009,4.0,0.0022,0.0012
540,DE,2012,DDT (sum),100,0.0,0.0,0.0,44.0,0.0071,0.0089
543,DE,2012,Dieldrin (sum),100,0.0,0.0,0.0,3.0,0.0016,0.0012
545,DE,2012,Endosulfan (sum),100,0.0,0.0,0.0,2.0,0.0009,0.0001
554,DE,2012,HCH-alpha,100,0.0,0.0,0.0,1.0,0.0005,0.0
555,DE,2012,HCH-beta,100,0.0,0.0,0.0,2.0,0.0018,0.0013
556,DE,2012,Heptachlor (sum),100,0.0,0.0,0.0,2.0,0.0004,0.0001
557,DE,2012,Hexachlorobenzene,100,0.0,0.0,0.0,49.0,0.002,0.0006
579,DE,2012,Quintozene (sum),60,0.0,0.0,0.0,1.0,0.001,0.0
582,DE,2012,Tecnazene,37,0.0,0.0,0.0,1.0,0.002,0.0
632,DE,2015,DDT (sum),94,0.0,0.0,0.0,25.0,0.0044,0.0027
641,DE,2015,Dieldrin (sum),94,0.0,0.0,0.0,4.0,0.001,0.0004
686,DE,2015,Heptachlor (sum of isomers),94,0.0,0.0,0.0,2.0,0.0005,0.0001
687,DE,2015,Hexachlorobenzene,94,0.0,0.0,0.0,28.0,0.0023,0.0008
843,EE,2012,DDT (sum),15,0.0,0.0,0.0,6.0,0.0022,0.0012
857,EE,2012,Hexachlorobenzene,15,1.0,0.006,0.0,7.0,0.0017,0.0011
883,EE,2015,Bromuconazole (sum),15,1.0,0.017,0.0,0.0,0.0,0.0
982,ES,2012,DDT (sum),21,0.0,0.0,0.0,3.0,0.0116,0.0012
1062,ES,2015,DDT (sum),71,0.0,0.0,0.0,5.0,0.0155,0.0068
1059,ES,2015,Cypermethrin (sum),52,0.0,0.0,0.0,1.0,0.011,0.0
1389,GB,2012,DDT (sum),92,0.0,0.0,0.0,8.0,0.0176,0.0063
1418,GB,2015,BAC 12,107,8.0,0.2125,0.0354,29.0,0.0476,0.0307
1419,GB,2015,BAC 14,107,0.0,0.0,0.0,32.0,0.0341,0.0231
1420,GB,2015,BAC 16,107,0.0,0.0,0.0,1.0,0.01,0.0
1421,GB,2015,Benzalkonium chloride,107,11.0,0.2545,0.0934,27.0,0.0552,0.0329
1434,GB,2015,Dieldrin (sum),107,1.0,0.01,0.0,0.0,0.0,0.0
1430,GB,2015,DDAC (mix),106,0.0,0.0,0.0,3.0,0.0433,0.0493
1919,IE,2012,DDT (sum),15,0.0,0.0,0.0,1.0,0.023,0.0
2088,IE,2012,Piperonyl Butoxide,15,1.0,0.03,0.0,0.0,0.0,0.0
2161,IE,2015,2-phenylphenol (sum),15,0.0,0.0,0.0,2.0,0.0055,0.0007
2611,LT,2015,DDT (sum),14,0.0,0.0,0.0,2.0,0.0016,0.0004
3462,SK,2012,DDT (sum),15,0.0,0.0,0.0,12.0,0.0112,0.0068
3502,SK,2015,DDT (sum),15,0.0,0.0,0.0,12.0,0.0122,0.0061
