,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
0,AT,2014,Hexachlorobenzene,8,2.0,0.1035,0.0672,0.0,0.0,0.0
11,AT,2015,Hexachlorobenzene,81,9.0,0.0587,0.085,0.0,0.0,0.0
52,BE,2011,DDT (sum),26,0.0,0.0,0.0,2.0,0.0196,0.0049
61,BE,2011,HCH-beta,26,14.0,0.0206,0.007,0.0,0.0,0.0
62,BE,2011,Heptachlor (sum),26,1.0,0.0181,0.0,0.0,0.0,0.0
85,BE,2012,HCH-beta,10,1.0,0.0227,0.0,0.0,0.0,0.0
90,BE,2012,Not in list,5,1.0,0.078,0.0,0.0,0.0,0.0
100,BE,2013,DDT (sum),25,0.0,0.0,0.0,1.0,0.0135,0.0
104,BE,2013,Endosulfan (sum),25,0.0,0.0,0.0,3.0,0.0162,0.0035
109,BE,2013,HCH-alpha,25,1.0,0.0115,0.0,0.0,0.0,0.0
110,BE,2013,HCH-beta,25,8.0,0.0157,0.0065,0.0,0.0,0.0
114,BE,2013,Methoxychlor,25,1.0,0.0368,0.0,0.0,0.0,0.0
124,BE,2014,DDT (sum),24,0.0,0.0,0.0,2.0,0.0107,0.0039
128,BE,2014,Endosulfan (sum),24,0.0,0.0,0.0,1.0,0.0166,0.0
133,BE,2014,HCH-alpha,24,0.0,0.0,0.0,1.0,0.0058,0.0
134,BE,2014,HCH-beta,24,2.0,0.0229,0.0044,2.0,0.009,0.0007
136,BE,2014,Hexachlorobenzene,24,0.0,0.0,0.0,1.0,0.0044,0.0
143,BG,2012,DDT (sum),13,0.0,0.0,0.0,11.0,0.0118,0.0071
149,CZ,2011,Abamectin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
150,CZ,2011,Azinphos-ethyl,15,0.0,0.0,0.0,15.0,0.01,0.0
151,CZ,2011,Bifenthrin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
152,CZ,2011,Camphechlor (sum),15,0.0,0.0,0.0,15.0,0.002,0.0
153,CZ,2011,Chlordane (sum),15,15.0,0.001,0.0,15.0,0.001,0.0
154,CZ,2011,Chlorobenzilate,15,0.0,0.0,0.0,15.0,0.03,0.0
155,CZ,2011,Chlorpyrifos,15,0.0,0.0,0.0,15.0,0.002,0.0
156,CZ,2011,Chlorpyrifos-methyl,15,0.0,0.0,0.0,15.0,0.004,0.0
157,CZ,2011,Cyfluthrin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
158,CZ,2011,Cypermethrin (sum),15,0.0,0.0,0.0,15.0,0.0083,0.0024
159,CZ,2011,DDT (sum),15,0.0,0.0,0.0,15.0,0.0139,0.01
160,CZ,2011,Deltamethrin,15,0.0,0.0,0.0,15.0,0.0063,0.001
161,CZ,2011,Diazinon,15,0.0,0.0,0.0,15.0,0.003,0.0
162,CZ,2011,Dieldrin (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
163,CZ,2011,Endosulfan (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
164,CZ,2011,Endrin,15,10.0,0.001,0.0,5.0,0.0002,0.0
165,CZ,2011,Fenthion (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
166,CZ,2011,Fenvalerate/Esfenvalerate (sum),15,15.0,0.005,0.0,0.0,0.0,0.0
167,CZ,2011,HCH-alpha,15,0.0,0.0,0.0,15.0,0.0017,0.0005
168,CZ,2011,HCH-beta,15,0.0,0.0,0.0,15.0,0.0017,0.0005
169,CZ,2011,Heptachlor (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
170,CZ,2011,Hexachlorobenzene,15,10.0,0.0122,0.0029,5.0,0.001,0.0
171,CZ,2011,Lindane,15,0.0,0.0,0.0,15.0,0.001,0.0
172,CZ,2011,Methidathion,15,0.0,0.0,0.0,15.0,0.02,0.0
173,CZ,2011,Methoxychlor,15,0.0,0.0,0.0,15.0,0.01,0.0
174,CZ,2011,Parathion,15,0.0,0.0,0.0,15.0,0.02,0.0
175,CZ,2011,Parathion-methyl (sum),15,15.0,0.02,0.0,0.0,0.0,0.0
176,CZ,2011,Permethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
177,CZ,2011,Pirimiphos-methyl (sum),15,0.0,0.0,0.0,15.0,0.003,0.0
178,CZ,2011,Profenofos,15,15.0,0.02,0.0,0.0,0.0,0.0
179,CZ,2011,Pyrazophos,15,15.0,0.02,0.0,0.0,0.0,0.0
180,CZ,2011,Quintozene (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
181,CZ,2011,Resmethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
182,CZ,2011,Tecnazene,15,15.0,0.03,0.0,0.0,0.0,0.0
183,CZ,2011,Triazophos,15,0.0,0.0,0.0,15.0,0.01,0.0
190,CZ,2012,Chlorpropham (sum),18,0.0,0.0,0.0,1.0,0.023,0.0
195,CZ,2012,DDT (sum),18,0.0,0.0,0.0,18.0,0.0048,0.002
202,CZ,2012,Famoxadone,18,0.0,0.0,0.0,1.0,0.002,0.0
212,CZ,2012,Hexachlorobenzene,18,0.0,0.0,0.0,18.0,0.0026,0.0008
213,CZ,2012,Indoxacarb (sum),18,0.0,0.0,0.0,1.0,0.003,0.0
240,CZ,2013,DDT (sum),6,0.0,0.0,0.0,6.0,0.0075,0.0013
246,CZ,2013,Etofenprox,6,0.0,0.0,0.0,3.0,0.004,0.001
259,CZ,2013,Hexachlorobenzene,6,0.0,0.0,0.0,6.0,0.0025,0.0008
260,CZ,2013,Indoxacarb (sum),6,0.0,0.0,0.0,1.0,0.002,0.0
290,CZ,2014,DDT (sum),9,0.0,0.0,0.0,6.0,0.0077,0.0017
298,CZ,2014,Fenpropimorph (sum),9,0.0,0.0,0.0,1.0,0.002,0.0
309,CZ,2014,Hexachlorobenzene,9,0.0,0.0,0.0,7.0,0.0029,0.001
333,CZ,2015,DDT (sum),20,0.0,0.0,0.0,18.0,0.0103,0.0043
344,CZ,2015,Hexachlorobenzene,20,14.0,0.007,0.0009,4.0,0.0022,0.0012
358,CZ,2016,DDT (sum),20,0.0,0.0,0.0,17.0,0.0081,0.003
369,CZ,2016,Hexachlorobenzene,20,1.0,0.008,0.0,15.0,0.003,0.0013
370,CZ,2016,Indoxacarb (sum),20,0.0,0.0,0.0,2.0,0.002,0.0
384,CZ,2017,DDT (sum),19,0.0,0.0,0.0,14.0,0.0055,0.0034
395,CZ,2017,Hexachlorobenzene,19,0.0,0.0,0.0,12.0,0.0018,0.0006
409,CZ,2018,DDT (sum),17,0.0,0.0,0.0,10.0,0.0042,0.002
421,CZ,2018,Hexachlorobenzene,17,0.0,0.0,0.0,5.0,0.0016,0.0005
435,CZ,2019,DDT (sum),12,0.0,0.0,0.0,12.0,0.0106,0.0041
448,CZ,2019,Hexachlorobenzene,12,2.0,0.0065,0.0007,10.0,0.0043,0.0005
462,CZ,2020,DDT (sum),12,1.0,0.053,0.0042,10.0,0.0065,0.002
