,sampCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
28,AT,2011,Hexachlorobenzene,21,0.0,0.0,0.0,2.0,0.0004,0.0001
99,AT,2012,Hexachlorobenzene,36,2.0,0.0055,0.0006,1.0,0.0003,0.0
261,AT,2014,Hexachlorobenzene,38,2.0,0.1035,0.0672,0.0,0.0,0.0
331,AT,2015,Hexachlorobenzene,171,16.0,0.04,0.066,0.0,0.0,0.0
650,AT,2022,Copper compounds,10,0.0,0.0,0.0,10.0,0.0457,0.0148
799,BE,2011,Chlordane (sum),47,1.0,0.0415,0.0,0.0,0.0,0.0
803,BE,2011,DDT (sum),47,2.0,0.0533,0.0123,6.0,0.0172,0.0041
806,BE,2011,Dieldrin (sum),47,3.0,0.0139,0.0025,0.0,0.0,0.0
812,BE,2011,HCH-beta,47,19.0,0.0204,0.0074,1.0,0.01,0.0
813,BE,2011,Heptachlor (sum),47,2.0,0.0239,0.0067,0.0,0.0,0.0
814,BE,2011,Hexachlorobenzene,47,3.0,0.0112,0.0009,0.0,0.0,0.0
843,BE,2012,HCH-beta,42,2.0,0.0174,0.0076,0.0,0.0,0.0
844,BE,2012,Heptachlor (sum),42,1.0,0.0153,0.0,0.0,0.0,0.0
845,BE,2012,Hexachlorobenzene,42,1.0,0.01,0.0,0.0,0.0,0.0
849,BE,2012,Not in list,9,1.0,0.078,0.0,0.0,0.0,0.0
870,BE,2013,DDT (sum),70,0.0,0.0,0.0,1.0,0.0135,0.0
875,BE,2013,Endosulfan (sum),70,0.0,0.0,0.0,6.0,0.018,0.0037
883,BE,2013,HCH-alpha,70,1.0,0.0115,0.0,0.0,0.0,0.0
884,BE,2013,HCH-beta,70,10.0,0.0166,0.0063,0.0,0.0,0.0
885,BE,2013,Heptachlor (sum),70,4.0,0.0172,0.0079,0.0,0.0,0.0
886,BE,2013,Hexachlorobenzene,70,2.0,0.0182,0.0112,0.0,0.0,0.0
889,BE,2013,Methoxychlor,70,2.0,0.0358,0.0014,0.0,0.0,0.0
904,BE,2014,DDT (sum),73,0.0,0.0,0.0,5.0,0.0057,0.0059
907,BE,2014,Dieldrin (sum),73,0.0,0.0,0.0,2.0,0.0011,0.0008
908,BE,2014,Endosulfan (sum),73,0.0,0.0,0.0,3.0,0.007,0.0088
913,BE,2014,HCH-alpha,73,0.0,0.0,0.0,1.0,0.0058,0.0
914,BE,2014,HCH-beta,73,2.0,0.0229,0.0044,7.0,0.003,0.0041
916,BE,2014,Hexachlorobenzene,73,0.0,0.0,0.0,3.0,0.0021,0.002
930,BE,2015,DDT (sum),27,0.0,0.0,0.0,2.0,0.0114,0.0004
943,BE,2015,HCH-beta,27,1.0,0.0105,0.0,0.0,0.0,0.0
967,BE,2016,DDT (sum),40,1.0,0.058,0.0,5.0,0.0234,0.0084
971,BE,2016,Dieldrin (sum),40,1.0,0.0138,0.0,0.0,0.0,0.0
983,BE,2016,HCH-beta,40,1.0,0.011,0.0,0.0,0.0,0.0
985,BE,2016,Hexachlorobenzene,40,1.0,0.0307,0.0,0.0,0.0,0.0
1128,BE,2023,DDT (sum),30,0.0,0.0,0.0,1.0,0.035,0.0
1122,BE,2023,Chlorate,20,0.0,0.0,0.0,1.0,0.011,0.0
1156,BE,2024,DDT (sum),30,0.0,0.0,0.0,1.0,0.014,0.0
1150,BE,2024,Chlorate,13,0.0,0.0,0.0,1.0,0.022,0.0
1175,BG,2012,DDT (sum),13,0.0,0.0,0.0,11.0,0.0118,0.0071
1206,CY,2011,DDT (sum),21,0.0,0.0,0.0,1.0,0.0021,0.0002
1503,CY,2013,DDT (sum),30,0.0,0.0,0.0,1.0,0.0021,0.0002
1675,CY,2014,DDT (sum),20,0.0,0.0,0.0,3.0,0.004,0.0008
1752,CY,2015,DDT (sum),31,1.0,0.074,0.0057,3.0,0.0132,0.0105
1891,CY,2016,DDT (sum),25,0.0,0.0,0.0,2.0,0.005,0.0018
2520,CY,2023,Copper compounds,5,0.0,0.0,0.0,5.0,0.0436,0.0047
2529,CY,2024,Copper compounds,5,0.0,0.0,0.0,4.0,0.0422,0.0114
2569,CZ,2011,Abamectin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
2570,CZ,2011,Azinphos-ethyl,15,0.0,0.0,0.0,15.0,0.01,0.0
2571,CZ,2011,Bifenthrin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
2572,CZ,2011,Camphechlor (sum),15,0.0,0.0,0.0,15.0,0.002,0.0
2573,CZ,2011,Chlordane (sum),15,15.0,0.001,0.0,15.0,0.001,0.0
2574,CZ,2011,Chlorobenzilate,15,0.0,0.0,0.0,15.0,0.03,0.0
