,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
28,AT,2011,Hexachlorobenzene,21,0.0,0.0,0.0,2.0,0.0004,0.0001
74,AT,2012,DDT (sum),24,0.0,0.0,0.0,1.0,0.0001,0.0
96,AT,2012,Hexachlorobenzene,24,0.0,0.0,0.0,3.0,0.0002,0.0001
278,AT,2014,Hexachlorobenzene,41,0.0,0.0,0.0,6.0,0.0002,0.0001
246,AT,2014,DDT (sum),32,0.0,0.0,0.0,3.0,0.0004,0.0005
282,AT,2014,Lindane,32,0.0,0.0,0.0,1.0,0.0001,0.0
448,AT,2015,Hexachlorobenzene,82,7.0,0.0159,0.0078,0.0,0.0,0.0
650,AT,2016,Hexachlorobenzene,61,0.0,0.0,0.0,3.0,0.0001,0.0
1753,AT,2022,Copper compounds,9,0.0,0.0,0.0,9.0,0.05,0.0153
2329,BE,2011,Chlordane (sum),21,1.0,0.0415,0.0,0.0,0.0,0.0
2333,BE,2011,DDT (sum),21,2.0,0.0533,0.0123,4.0,0.0158,0.0031
2336,BE,2011,Dieldrin (sum),21,3.0,0.0139,0.0025,0.0,0.0,0.0
2342,BE,2011,HCH-beta,21,5.0,0.0198,0.0093,1.0,0.01,0.0
2343,BE,2011,Heptachlor (sum),21,1.0,0.0296,0.0,0.0,0.0,0.0
2344,BE,2011,Hexachlorobenzene,21,3.0,0.0112,0.0009,0.0,0.0,0.0
2366,BE,2012,HCH-beta,18,1.0,0.012,0.0,0.0,0.0,0.0
2367,BE,2012,Heptachlor (sum),18,1.0,0.0153,0.0,0.0,0.0,0.0
2368,BE,2012,Hexachlorobenzene,18,1.0,0.01,0.0,0.0,0.0,0.0
2501,BE,2013,Endosulfan (sum),32,0.0,0.0,0.0,3.0,0.0198,0.0031
2570,BE,2013,HCH-beta,32,2.0,0.0201,0.0053,0.0,0.0,0.0
2575,BE,2013,Heptachlor (sum),32,4.0,0.0172,0.0079,0.0,0.0,0.0
2577,BE,2013,Hexachlorobenzene,32,2.0,0.0182,0.0112,0.0,0.0,0.0
2620,BE,2013,Methoxychlor,32,1.0,0.0348,0.0,0.0,0.0,0.0
2762,BE,2014,DDT (sum),29,0.0,0.0,0.0,1.0,0.001,0.0003
2765,BE,2014,Dieldrin (sum),29,0.0,0.0,0.0,2.0,0.0011,0.0008
2766,BE,2014,Endosulfan (sum),29,0.0,0.0,0.0,1.0,0.0004,0.0
2772,BE,2014,HCH-beta,29,0.0,0.0,0.0,4.0,0.0007,0.0005
2786,BE,2015,DDT (sum),12,0.0,0.0,0.0,2.0,0.0114,0.0004
2796,BE,2015,HCH-beta,12,1.0,0.0105,0.0,0.0,0.0,0.0
2869,BE,2016,DDT (sum),47,1.0,0.058,0.0,5.0,0.0234,0.0084
2881,BE,2016,Dieldrin (sum),47,1.0,0.0138,0.0,0.0,0.0,0.0
