,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
28,AT,2011,Hexachlorobenzene,21,0.0,0.0,0.0,2.0,0.0004,0.0001
74,AT,2012,DDT (sum),24,0.0,0.0,0.0,1.0,0.0001,0.0
96,AT,2012,Hexachlorobenzene,24,0.0,0.0,0.0,3.0,0.0002,0.0001
205,AT,2013,Hexachlorobenzene,35,0.0,0.0,0.0,2.0,0.0001,0.0
312,AT,2014,Hexachlorobenzene,41,0.0,0.0,0.0,6.0,0.0002,0.0001
280,AT,2014,DDT (sum),32,0.0,0.0,0.0,3.0,0.0004,0.0005
316,AT,2014,Lindane,32,0.0,0.0,0.0,1.0,0.0001,0.0
482,AT,2015,Hexachlorobenzene,82,7.0,0.0159,0.0078,0.0,0.0,0.0
697,AT,2016,Hexachlorobenzene,82,0.0,0.0,0.0,3.0,0.0001,0.0
1215,AT,2019,Hexachlorobenzene,50,0.0,0.0,0.0,2.0,0.0001,0.0
1027,AT,2019,Azinphos-ethyl,47,0.0,0.0,0.0,1.0,0.0002,0.0
1094,AT,2019,Copper compounds,5,0.0,0.0,0.0,1.0,0.138,0.0
1945,AT,2022,Hexachlorobenzene,22,0.0,0.0,0.0,1.0,0.0,0.0
1848,AT,2022,Copper compounds,9,0.0,0.0,0.0,9.0,0.05,0.0153
2477,BE,2011,Chlordane (sum),21,1.0,0.0415,0.0,0.0,0.0,0.0
2481,BE,2011,DDT (sum),21,2.0,0.0533,0.0123,4.0,0.0158,0.0031
2484,BE,2011,Dieldrin (sum),21,3.0,0.0139,0.0025,0.0,0.0,0.0
2490,BE,2011,HCH-beta,21,5.0,0.0198,0.0093,1.0,0.01,0.0
2491,BE,2011,Heptachlor (sum),21,1.0,0.0296,0.0,0.0,0.0,0.0
2492,BE,2011,Hexachlorobenzene,21,3.0,0.0112,0.0009,0.0,0.0,0.0
2514,BE,2012,HCH-beta,18,1.0,0.012,0.0,0.0,0.0,0.0
2515,BE,2012,Heptachlor (sum),18,1.0,0.0153,0.0,0.0,0.0,0.0
2516,BE,2012,Hexachlorobenzene,18,1.0,0.01,0.0,0.0,0.0,0.0
2650,BE,2013,Endosulfan (sum),45,0.0,0.0,0.0,3.0,0.0198,0.0031
2719,BE,2013,HCH-beta,45,2.0,0.0201,0.0053,0.0,0.0,0.0
2724,BE,2013,Heptachlor (sum),45,4.0,0.0172,0.0079,0.0,0.0,0.0
2726,BE,2013,Hexachlorobenzene,45,2.0,0.0182,0.0112,0.0,0.0,0.0
2769,BE,2013,Methoxychlor,45,1.0,0.0348,0.0,0.0,0.0,0.0
2911,BE,2014,DDT (sum),29,0.0,0.0,0.0,1.0,0.001,0.0003
2914,BE,2014,Dieldrin (sum),29,0.0,0.0,0.0,2.0,0.0011,0.0008
2915,BE,2014,Endosulfan (sum),29,0.0,0.0,0.0,1.0,0.0004,0.0
