,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
106,AT,2012,Hexachlorobenzene,13,1.0,0.0051,0.0,0.0,0.0,0.0
290,BE,2012,DDT (sum),14,0.0,0.0,0.0,1.0,0.001,0.0
304,BE,2012,Hexachlorobenzene,14,0.0,0.0,0.0,1.0,0.001,0.0
388,BE,2015,DDT (sum),23,0.0,0.0,0.0,2.0,0.0144,0.0064
612,BG,2012,DDT (sum),14,0.0,0.0,0.0,12.0,0.0132,0.0083
623,BG,2012,HCH-beta,14,0.0,0.0,0.0,1.0,0.0028,0.0
625,BG,2012,Hexachlorobenzene,1,0.0,0.0,0.0,1.0,0.0023,0.0
657,CY,2015,DDT (sum),2,0.0,0.0,0.0,2.0,0.0196,0.0084
726,CZ,2012,Chlorpropham (sum),22,0.0,0.0,0.0,1.0,0.023,0.0
731,CZ,2012,DDT (sum),22,0.0,0.0,0.0,21.0,0.0057,0.0029
750,CZ,2012,Hexachlorobenzene,22,0.0,0.0,0.0,18.0,0.0026,0.0008
738,CZ,2012,Famoxadone,18,0.0,0.0,0.0,1.0,0.002,0.0
751,CZ,2012,Indoxacarb (sum),18,0.0,0.0,0.0,1.0,0.003,0.0
776,CZ,2015,DDT (sum),20,0.0,0.0,0.0,18.0,0.0103,0.0043
787,CZ,2015,Hexachlorobenzene,20,14.0,0.007,0.0009,4.0,0.0022,0.0012
846,DE,2012,DDT (sum),88,0.0,0.0,0.0,34.0,0.0063,0.0065
852,DE,2012,Dieldrin (sum),88,0.0,0.0,0.0,1.0,0.0009,0.0
867,DE,2012,Endosulfan (sum),88,0.0,0.0,0.0,2.0,0.0009,0.0001
912,DE,2012,Heptachlor (sum),87,0.0,0.0,0.0,1.0,0.0004,0.0
914,DE,2012,Hexachlorobenzene,86,1.0,0.0059,0.0,31.0,0.0021,0.0007
907,DE,2012,HCH-beta,85,0.0,0.0,0.0,1.0,0.0009,0.0
1008,DE,2012,Quintozene (sum),64,0.0,0.0,0.0,1.0,0.001,0.0
1015,DE,2012,Tecnazene,48,0.0,0.0,0.0,1.0,0.002,0.0
1120,DE,2015,DDT (sum),112,0.0,0.0,0.0,25.0,0.0053,0.0029
1136,DE,2015,Dieldrin (sum),112,0.0,0.0,0.0,2.0,0.0012,0.0006
1215,DE,2015,Hexachlorobenzene,112,0.0,0.0,0.0,23.0,0.0024,0.0008
1212,DE,2015,Heptachlor (sum of isomers),85,0.0,0.0,0.0,1.0,0.0006,0.0
1898,EE,2012,DDT (sum),5,0.0,0.0,0.0,2.0,0.002,0.0014
1912,EE,2012,Hexachlorobenzene,5,0.0,0.0,0.0,3.0,0.0023,0.0015
1938,EE,2015,Bromuconazole (sum),10,1.0,0.017,0.0,0.0,0.0,0.0
2037,ES,2012,DDT (sum),20,0.0,0.0,0.0,3.0,0.0116,0.0012
2114,ES,2015,DDT (sum),60,0.0,0.0,0.0,5.0,0.0155,0.0068
2111,ES,2015,Cypermethrin (sum),48,0.0,0.0,0.0,1.0,0.011,0.0
2310,FI,2012,Hexachlorobenzene,20,0.0,0.0,0.0,1.0,0.001,0.0
2539,FR,2012,Dieldrin (sum),75,0.0,0.0,0.0,2.0,0.002,0.0014
2596,FR,2012,Hexachlorobenzene,74,0.0,0.0,0.0,2.0,0.0009,0.0001
2767,FR,2015,Dieldrin (sum),16,0.0,0.0,0.0,1.0,0.0008,0.0
2822,FR,2015,Hexachlorobenzene,14,0.0,0.0,0.0,1.0,0.0025,0.0
3008,GB,2012,DDT (sum),60,0.0,0.0,0.0,1.0,0.023,0.0
3194,GB,2012,Piperonyl Butoxide,5,1.0,0.03,0.0,0.0,0.0,0.0
3356,GB,2015,Dieldrin (sum),91,1.0,0.01,0.0,0.0,0.0,0.0
3288,GB,2015,BAC 12,87,7.0,0.2143,0.0378,28.0,0.0486,0.0308
3289,GB,2015,BAC 14,87,0.0,0.0,0.0,30.0,0.0343,0.0233
