,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
4,AT,2011,DDT (sum),2,0.0,0.0,0.0,1.0,0.0184,0.0
126,AT,2014,Hexachlorobenzene,8,2.0,0.1035,0.0672,0.0,0.0,0.0
249,AT,2015,Hexachlorobenzene,84,9.0,0.0587,0.085,1.0,0.0035,0.0
594,BE,2011,DDT (sum),24,0.0,0.0,0.0,2.0,0.0196,0.0049
603,BE,2011,HCH-beta,24,13.0,0.0198,0.0066,0.0,0.0,0.0
604,BE,2011,Heptachlor (sum),24,1.0,0.0181,0.0,0.0,0.0,0.0
624,BE,2012,DDT (sum),10,0.0,0.0,0.0,1.0,0.001,0.0
640,BE,2012,HCH-beta,10,1.0,0.0227,0.0,0.0,0.0,0.0
642,BE,2012,Hexachlorobenzene,10,0.0,0.0,0.0,1.0,0.001,0.0
646,BE,2012,Not in list,5,1.0,0.078,0.0,0.0,0.0,0.0
668,BE,2013,DDT (sum),19,0.0,0.0,0.0,1.0,0.0135,0.0
672,BE,2013,Endosulfan (sum),19,0.0,0.0,0.0,3.0,0.0162,0.0035
677,BE,2013,HCH-alpha,19,1.0,0.0115,0.0,0.0,0.0,0.0
678,BE,2013,HCH-beta,19,6.0,0.0141,0.0048,0.0,0.0,0.0
1063,BG,2012,DDT (sum),13,0.0,0.0,0.0,11.0,0.0118,0.0071
1070,BG,2022,DDT (sum),1,0.0,0.0,0.0,1.0,0.0031,0.0003
1125,CZ,2011,Abamectin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
1126,CZ,2011,Azinphos-ethyl,15,0.0,0.0,0.0,15.0,0.01,0.0
1127,CZ,2011,Bifenthrin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
1128,CZ,2011,Camphechlor (sum),15,0.0,0.0,0.0,15.0,0.002,0.0
1129,CZ,2011,Chlordane (sum),15,15.0,0.001,0.0,15.0,0.001,0.0
1130,CZ,2011,Chlorobenzilate,15,0.0,0.0,0.0,15.0,0.03,0.0
1131,CZ,2011,Chlorpyrifos,15,0.0,0.0,0.0,15.0,0.002,0.0
1132,CZ,2011,Chlorpyrifos-methyl,15,0.0,0.0,0.0,15.0,0.004,0.0
1133,CZ,2011,Cyfluthrin (sum),15,0.0,0.0,0.0,15.0,0.005,0.0
1134,CZ,2011,Cypermethrin (sum),15,0.0,0.0,0.0,15.0,0.0083,0.0024
1135,CZ,2011,DDT (sum),15,0.0,0.0,0.0,15.0,0.0139,0.01
1136,CZ,2011,Deltamethrin,15,0.0,0.0,0.0,15.0,0.0063,0.001
1137,CZ,2011,Diazinon,15,0.0,0.0,0.0,15.0,0.003,0.0
1138,CZ,2011,Dieldrin (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
1139,CZ,2011,Endosulfan (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
1140,CZ,2011,Endrin,15,10.0,0.001,0.0,5.0,0.0002,0.0
1141,CZ,2011,Fenthion (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
1142,CZ,2011,Fenvalerate/Esfenvalerate (sum),15,15.0,0.005,0.0,0.0,0.0,0.0
1143,CZ,2011,HCH-alpha,15,0.0,0.0,0.0,15.0,0.0017,0.0005
1144,CZ,2011,HCH-beta,15,0.0,0.0,0.0,15.0,0.0017,0.0005
1145,CZ,2011,Heptachlor (sum),15,0.0,0.0,0.0,15.0,0.001,0.0
1146,CZ,2011,Hexachlorobenzene,15,10.0,0.0122,0.0029,5.0,0.001,0.0
1147,CZ,2011,Lindane,15,0.0,0.0,0.0,15.0,0.001,0.0
1148,CZ,2011,Methidathion,15,0.0,0.0,0.0,15.0,0.02,0.0
1149,CZ,2011,Methoxychlor,15,0.0,0.0,0.0,15.0,0.01,0.0
1150,CZ,2011,Parathion,15,0.0,0.0,0.0,15.0,0.02,0.0
1151,CZ,2011,Parathion-methyl (sum),15,15.0,0.02,0.0,0.0,0.0,0.0
1152,CZ,2011,Permethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
1153,CZ,2011,Pirimiphos-methyl (sum),15,0.0,0.0,0.0,15.0,0.003,0.0
1154,CZ,2011,Profenofos,15,15.0,0.02,0.0,0.0,0.0,0.0
1155,CZ,2011,Pyrazophos,15,15.0,0.02,0.0,0.0,0.0,0.0
1156,CZ,2011,Quintozene (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
1157,CZ,2011,Resmethrin (sum),15,0.0,0.0,0.0,15.0,0.01,0.0
