,origCountry,year,tag,num_samples,above_mrl_samples,above_mrl_mean,above_mrl_std,between_loq_and_mrl_samples,between_loq_and_mrl_mean,between_loq_and_mrl_std
15,AT,2011,DDT (sum),23,0.0,0.0,0.0,1.0,0.0184,0.0
35,AT,2011,Hexachlorobenzene,23,0.0,0.0,0.0,2.0,0.0004,0.0001
114,AT,2012,DDT (sum),39,0.0,0.0,0.0,1.0,0.0001,0.0
179,AT,2012,Hexachlorobenzene,39,1.0,0.0051,0.0,3.0,0.0002,0.0001
383,AT,2013,Hexachlorobenzene,38,0.0,0.0,0.0,2.0,0.0001,0.0
505,AT,2014,Hexachlorobenzene,49,2.0,0.1035,0.0672,6.0,0.0002,0.0001
473,AT,2014,DDT (sum),32,0.0,0.0,0.0,3.0,0.0004,0.0005
510,AT,2014,Lindane,32,0.0,0.0,0.0,1.0,0.0001,0.0
682,AT,2015,Hexachlorobenzene,180,16.0,0.04,0.066,1.0,0.0035,0.0
899,AT,2016,Hexachlorobenzene,84,0.0,0.0,0.0,3.0,0.0001,0.0
1422,AT,2019,Hexachlorobenzene,51,0.0,0.0,0.0,2.0,0.0001,0.0
1233,AT,2019,Azinphos-ethyl,48,0.0,0.0,0.0,1.0,0.0002,0.0
1300,AT,2019,Copper compounds,5,0.0,0.0,0.0,1.0,0.138,0.0
2152,AT,2022,Hexachlorobenzene,23,0.0,0.0,0.0,1.0,0.0,0.0
2055,AT,2022,Copper compounds,9,0.0,0.0,0.0,9.0,0.05,0.0153
2685,BE,2011,Chlordane (sum),45,1.0,0.0415,0.0,0.0,0.0,0.0
2689,BE,2011,DDT (sum),45,2.0,0.0533,0.0123,6.0,0.0172,0.0041
2692,BE,2011,Dieldrin (sum),45,3.0,0.0139,0.0025,0.0,0.0,0.0
2698,BE,2011,HCH-beta,45,18.0,0.0198,0.0071,1.0,0.01,0.0
2699,BE,2011,Heptachlor (sum),45,2.0,0.0239,0.0067,0.0,0.0,0.0
2700,BE,2011,Hexachlorobenzene,45,3.0,0.0112,0.0009,0.0,0.0,0.0
2720,BE,2012,DDT (sum),41,0.0,0.0,0.0,1.0,0.001,0.0
2736,BE,2012,HCH-beta,41,2.0,0.0174,0.0076,0.0,0.0,0.0
2737,BE,2012,Heptachlor (sum),41,1.0,0.0153,0.0,0.0,0.0,0.0
2738,BE,2012,Hexachlorobenzene,41,1.0,0.01,0.0,1.0,0.001,0.0
2742,BE,2012,Not in list,8,1.0,0.078,0.0,0.0,0.0,0.0
2848,BE,2013,DDT (sum),64,0.0,0.0,0.0,1.0,0.0135,0.0
2885,BE,2013,Endosulfan (sum),64,0.0,0.0,0.0,6.0,0.018,0.0037
