,sampCountry,year,percentage_with_pesticides,percentage_val_result,total_samples
0,AT,2012,13.33,13.33,15
1,AT,2014,25.0,25.0,8
2,AT,2015,9.09,9.09,99
3,AT,2016,0.0,0.0,49
4,AT,2017,0.0,0.0,2
5,AT,2018,0.0,0.0,1
6,CY,2012,0.0,0.0,15
7,CY,2015,20.0,20.0,15
8,CZ,2011,100.0,66.67,15
9,CZ,2012,100.0,100.0,18
10,CZ,2013,100.0,100.0,6
11,CZ,2014,77.78,77.78,9
12,CZ,2015,90.0,90.0,20
13,CZ,2016,85.0,85.0,20
14,CZ,2017,78.95,78.95,19
15,CZ,2018,64.71,64.71,17
16,CZ,2019,100.0,100.0,12
17,CZ,2020,91.67,91.67,12
18,CZ,2021,75.0,75.0,12
19,CZ,2022,100.0,100.0,12
20,CZ,2023,0.0,0.0,11
21,DE,2011,26.9,26.9,145
22,DE,2012,37.04,37.04,270
23,DE,2013,36.2,36.2,163
24,DE,2014,38.46,38.46,286
25,DE,2015,48.02,48.02,202
26,DE,2016,18.42,18.42,38
27,DE,2017,22.5,22.5,40
28,DE,2018,18.14,18.14,204
29,DE,2019,19.51,19.51,41
30,DE,2021,24.79,24.79,234
31,DE,2022,24.44,24.44,45
32,DE,2023,1.74,1.74,115
33,DK,2012,0.0,0.0,14
34,DK,2015,0.0,0.0,6
35,DK,2021,0.0,0.0,1
36,ES,2012,14.29,14.29,21
37,ES,2015,8.33,8.33,72
38,ES,2016,0.0,0.0,16
39,ES,2017,0.0,0.0,3
40,ES,2018,0.0,0.0,1
41,FI,2012,0.0,0.0,18
42,FI,2015,0.0,0.0,8
43,FR,2012,0.0,0.0,60
44,FR,2019,0.0,0.0,4
45,GR,2012,0.0,0.0,15
46,GR,2015,0.0,0.0,13
47,IE,2012,6.67,6.67,15
48,IE,2015,13.33,13.33,15
49,IE,2016,0.0,0.0,6
50,IT,2011,0.0,0.0,10
51,IT,2012,0.0,0.0,30
52,IT,2013,0.0,0.0,7
53,IT,2014,1.69,1.69,59
54,IT,2015,0.0,0.0,146
55,IT,2016,13.79,13.79,29
56,IT,2017,20.0,20.0,30
57,IT,2018,16.67,16.67,18
58,IT,2019,25.0,25.0,12
59,IT,2020,20.0,20.0,5
60,IT,2021,0.0,0.0,8
61,IT,2022,11.11,11.11,9
62,IT,2023,25.0,25.0,8
63,LV,2012,0.0,0.0,15
64,LV,2015,0.0,0.0,15
65,MT,2012,0.0,0.0,15
66,MT,2015,0.0,0.0,4
67,MT,2016,0.0,0.0,2
68,NL,2012,0.0,0.0,21
69,NL,2015,0.0,0.0,23
70,NO,2012,0.0,0.0,15
71,NO,2015,0.0,0.0,15
72,PL,2011,0.0,0.0,51
73,PL,2012,0.0,0.0,89
74,PL,2013,0.0,0.0,50
75,PL,2014,0.0,0.0,30
76,PL,2015,0.0,0.0,45
77,PL,2016,0.0,0.0,5
78,RO,2012,0.0,0.0,16
79,RO,2013,0.0,0.0,1
80,SE,2012,0.0,0.0,30
81,SE,2015,0.0,0.0,30
82,SI,2012,0.0,0.0,15
83,SI,2015,0.0,0.0,15
84,SI,2016,0.0,0.0,10
85,SI,2020,0.0,0.0,6
86,SK,2012,80.0,80.0,15
87,SK,2013,100.0,100.0,1
88,SK,2015,80.0,80.0,15
