,sampCountry,year,programme,percentage_with_pesticides,percentage_val_result,total_samples
0,AT,2012,obligatory,100.0,13.33,15
1,AT,2014,voluntary,100.0,25.0,8
2,AT,2015,obligatory,100.0,0.0,15
3,AT,2015,voluntary,100.0,10.71,84
4,AT,2016,voluntary,100.0,0.0,49
5,AT,2017,voluntary,100.0,0.0,2
6,AT,2018,voluntary,100.0,0.0,1
7,CY,2012,obligatory,100.0,0.0,15
8,CY,2015,obligatory,100.0,20.0,15
9,CZ,2011,voluntary,100.0,66.67,15
10,CZ,2012,obligatory,100.0,100.0,18
11,CZ,2012,voluntary,100.0,100.0,18
12,CZ,2013,voluntary,100.0,100.0,6
13,CZ,2014,voluntary,100.0,77.78,9
14,CZ,2015,obligatory,100.0,90.0,20
15,CZ,2015,voluntary,100.0,90.0,20
16,CZ,2016,voluntary,100.0,85.0,20
17,CZ,2017,voluntary,100.0,78.95,19
18,CZ,2018,voluntary,100.0,64.71,17
19,CZ,2019,voluntary,100.0,100.0,12
20,CZ,2020,voluntary,100.0,91.67,12
21,CZ,2021,voluntary,100.0,75.0,12
22,CZ,2022,voluntary,100.0,100.0,12
23,CZ,2023,voluntary,100.0,0.0,11
24,CZ,2024,voluntary,100.0,33.33,9
25,DE,2011,voluntary,100.0,26.9,145
26,DE,2012,obligatory,100.0,50.0,110
27,DE,2012,voluntary,100.0,28.12,160
28,DE,2013,voluntary,100.0,36.2,163
29,DE,2014,voluntary,100.0,38.46,286
30,DE,2015,obligatory,100.0,38.05,113
31,DE,2015,voluntary,100.0,60.67,89
32,DE,2016,voluntary,100.0,18.42,38
33,DE,2017,voluntary,100.0,22.5,40
34,DE,2018,voluntary,100.0,18.14,204
35,DE,2019,voluntary,100.0,19.51,41
36,DE,2021,voluntary,100.0,24.79,234
37,DE,2022,voluntary,100.0,24.44,45
38,DE,2023,voluntary,100.0,1.74,115
39,DE,2024,voluntary,100.0,5.26,171
40,DK,2012,obligatory,100.0,0.0,8
41,DK,2012,voluntary,100.0,0.0,14
42,DK,2015,obligatory,100.0,0.0,6
43,DK,2015,voluntary,100.0,0.0,6
44,DK,2021,voluntary,100.0,0.0,1
45,DK,2024,voluntary,100.0,0.0,1
46,ES,2012,obligatory,100.0,14.29,21
47,ES,2012,voluntary,100.0,0.0,3
48,ES,2015,obligatory,100.0,8.33,72
49,ES,2015,voluntary,100.0,0.0,10
50,ES,2016,voluntary,100.0,0.0,16
51,ES,2017,voluntary,100.0,0.0,3
52,ES,2018,voluntary,100.0,0.0,1
53,FI,2012,obligatory,100.0,0.0,18
54,FI,2015,obligatory,100.0,0.0,8
55,FR,2012,obligatory,100.0,0.0,60
56,FR,2019,voluntary,100.0,0.0,4
57,GR,2012,obligatory,100.0,0.0,15
58,GR,2012,voluntary,100.0,0.0,15
59,GR,2015,obligatory,100.0,0.0,13
60,GR,2015,voluntary,100.0,0.0,13
61,IE,2012,obligatory,100.0,6.67,15
62,IE,2012,voluntary,100.0,6.67,15
63,IE,2015,obligatory,100.0,13.33,15
64,IE,2016,voluntary,100.0,0.0,6
65,IT,2011,voluntary,100.0,0.0,10
66,IT,2012,obligatory,100.0,0.0,13
67,IT,2012,voluntary,100.0,0.0,17
68,IT,2013,voluntary,100.0,0.0,7
69,IT,2014,voluntary,100.0,1.69,59
70,IT,2015,obligatory,100.0,0.0,51
71,IT,2015,voluntary,100.0,0.0,102
72,IT,2016,voluntary,100.0,13.79,29
73,IT,2017,voluntary,100.0,20.0,30
74,IT,2018,voluntary,100.0,16.67,18
75,IT,2019,voluntary,100.0,25.0,12
76,IT,2020,voluntary,100.0,20.0,5
77,IT,2021,voluntary,100.0,0.0,8
78,IT,2022,voluntary,100.0,11.11,9
79,IT,2023,voluntary,100.0,25.0,8
80,IT,2024,voluntary,100.0,0.0,9
81,LV,2012,obligatory,100.0,0.0,15
82,LV,2015,obligatory,100.0,0.0,15
83,MT,2012,obligatory,100.0,0.0,15
84,MT,2012,voluntary,100.0,0.0,15
85,MT,2015,obligatory,100.0,0.0,4
86,MT,2015,voluntary,100.0,0.0,4
87,MT,2016,voluntary,100.0,0.0,2
88,NL,2012,obligatory,100.0,0.0,21
89,NL,2012,voluntary,100.0,0.0,21
90,NL,2015,obligatory,100.0,0.0,23
91,NL,2015,voluntary,100.0,0.0,23
92,NO,2012,obligatory,100.0,0.0,15
93,NO,2015,obligatory,100.0,0.0,15
94,PL,2011,voluntary,100.0,0.0,51
95,PL,2012,obligatory,100.0,0.0,88
96,PL,2012,voluntary,100.0,0.0,89
97,PL,2013,voluntary,100.0,0.0,50
98,PL,2014,voluntary,100.0,0.0,30
99,PL,2015,obligatory,100.0,0.0,45
100,PL,2015,voluntary,100.0,0.0,45
101,PL,2016,voluntary,100.0,0.0,5
102,RO,2012,obligatory,100.0,0.0,16
103,RO,2012,voluntary,100.0,0.0,16
104,RO,2013,voluntary,100.0,0.0,1
105,SE,2012,obligatory,100.0,0.0,30
106,SE,2015,obligatory,100.0,0.0,30
107,SI,2012,obligatory,100.0,0.0,15
108,SI,2012,voluntary,100.0,0.0,15
109,SI,2015,obligatory,100.0,0.0,15
110,SI,2015,voluntary,100.0,0.0,15
111,SI,2016,voluntary,100.0,0.0,10
112,SI,2020,voluntary,100.0,0.0,6
113,SI,2024,voluntary,100.0,0.0,2
114,SK,2012,obligatory,100.0,80.0,15
115,SK,2013,voluntary,100.0,100.0,1
116,SK,2015,obligatory,100.0,80.0,15
