,sampCountry,year,percentage_with_pesticides,percentage_val_result,total_samples
0,AT,2011,0.71,0.71,282
1,AT,2012,0.35,0.35,285
2,AT,2013,0.0,0.0,297
3,AT,2014,0.0,0.0,293
4,AT,2015,2.06,2.06,339
5,AT,2016,0.0,0.0,79
6,AT,2017,0.0,0.0,1
7,AT,2019,0.0,0.0,32
8,AT,2022,100.0,100.0,10
9,CY,2011,2.94,2.94,34
10,CY,2012,0.0,0.0,15
11,CY,2013,3.33,3.33,30
12,CY,2014,10.0,10.0,30
13,CY,2015,3.85,3.85,26
14,CY,2016,7.69,7.69,26
15,CY,2017,0.0,0.0,25
16,CY,2019,0.0,0.0,12
17,CY,2020,0.0,0.0,1
18,CY,2022,0.0,0.0,12
19,CY,2023,100.0,0.0,5
20,CZ,2013,0.0,0.0,16
21,CZ,2014,0.0,0.0,7
22,CZ,2015,0.0,0.0,15
23,CZ,2016,0.0,0.0,15
24,CZ,2017,4.65,4.65,43
25,CZ,2018,10.0,10.0,10
26,CZ,2019,7.14,7.14,14
27,CZ,2020,0.0,0.0,12
28,CZ,2021,8.33,8.33,12
29,CZ,2022,0.0,0.0,14
30,CZ,2023,0.0,0.0,35
31,DE,2011,80.91,80.91,220
32,DE,2012,51.87,51.87,536
33,DE,2013,48.72,48.72,587
34,DE,2014,70.0,70.0,330
35,DE,2015,31.91,31.91,398
36,DE,2016,23.5,23.5,366
37,DE,2017,22.18,22.18,293
38,DE,2018,14.66,14.66,191
39,DE,2019,19.41,19.41,443
40,DE,2021,20.44,20.44,181
41,DE,2022,9.55,9.55,335
42,DE,2023,7.14,7.14,182
43,DK,2011,0.0,0.0,1
44,DK,2012,0.0,0.0,1
45,DK,2013,0.0,0.0,15
46,DK,2014,0.0,0.0,13
47,DK,2015,0.0,0.0,15
48,DK,2016,0.0,0.0,15
49,DK,2017,0.0,0.0,15
50,DK,2018,0.0,0.0,24
51,DK,2019,0.0,0.0,21
52,DK,2020,25.0,14.29,28
53,DK,2021,26.67,0.0,30
54,DK,2022,2.04,2.04,49
55,DK,2023,18.37,8.16,49
