,sampCountry,year,programme,percentage_with_pesticides,percentage_val_result,total_samples
0,AT,2011,voluntary,100.0,0.71,282
1,AT,2012,voluntary,100.0,0.35,285
2,AT,2013,obligatory,100.0,0.0,9
3,AT,2013,voluntary,100.0,0.0,288
4,AT,2014,voluntary,100.0,0.0,293
5,AT,2015,voluntary,100.0,2.06,339
6,AT,2016,obligatory,100.0,0.0,15
7,AT,2016,voluntary,100.0,0.0,64
8,AT,2017,voluntary,100.0,0.0,1
9,AT,2019,obligatory,100.0,0.0,32
10,AT,2019,voluntary,100.0,0.0,20
11,AT,2022,obligatory,100.0,100.0,10
12,AT,2022,voluntary,100.0,100.0,10
13,CY,2011,voluntary,100.0,2.94,34
14,CY,2012,voluntary,100.0,0.0,15
15,CY,2013,obligatory,100.0,6.67,15
16,CY,2013,voluntary,100.0,0.0,15
17,CY,2014,voluntary,100.0,10.0,30
18,CY,2015,voluntary,100.0,3.85,26
19,CY,2016,obligatory,100.0,6.67,15
20,CY,2016,voluntary,100.0,7.69,26
21,CY,2017,voluntary,100.0,0.0,25
22,CY,2019,obligatory,100.0,0.0,12
23,CY,2019,voluntary,100.0,0.0,12
24,CY,2020,voluntary,100.0,0.0,1
25,CY,2022,obligatory,100.0,0.0,12
26,CY,2023,voluntary,100.0,0.0,5
27,CY,2024,voluntary,100.0,0.0,7
28,CZ,2013,obligatory,100.0,0.0,16
29,CZ,2013,voluntary,100.0,0.0,16
30,CZ,2014,voluntary,100.0,0.0,7
31,CZ,2015,voluntary,100.0,0.0,15
32,CZ,2016,obligatory,100.0,0.0,15
33,CZ,2016,voluntary,100.0,0.0,15
34,CZ,2017,voluntary,100.0,4.65,43
35,CZ,2018,voluntary,100.0,10.0,10
36,CZ,2019,obligatory,100.0,7.14,14
37,CZ,2020,voluntary,100.0,0.0,12
38,CZ,2021,voluntary,100.0,8.33,12
39,CZ,2022,obligatory,100.0,0.0,14
40,CZ,2023,voluntary,100.0,0.0,35
41,CZ,2024,voluntary,100.0,26.47,34
42,DE,2011,voluntary,100.0,80.91,220
43,DE,2012,voluntary,100.0,51.87,536
44,DE,2013,obligatory,100.0,40.59,271
45,DE,2013,voluntary,100.0,55.7,316
46,DE,2014,voluntary,100.0,70.0,330
47,DE,2015,voluntary,100.0,31.91,398
48,DE,2016,obligatory,100.0,14.06,128
49,DE,2016,voluntary,100.0,28.57,238
50,DE,2017,voluntary,100.0,22.18,293
51,DE,2018,voluntary,100.0,14.66,191
52,DE,2019,obligatory,100.0,26.4,197
53,DE,2019,voluntary,100.0,13.82,246
54,DE,2021,voluntary,100.0,20.44,181
55,DE,2022,obligatory,100.0,13.45,119
56,DE,2022,voluntary,100.0,7.41,216
57,DE,2023,voluntary,100.0,7.14,182
58,DE,2024,voluntary,100.0,10.26,195
59,DK,2011,voluntary,100.0,0.0,1
60,DK,2012,voluntary,100.0,0.0,1
61,DK,2013,obligatory,100.0,0.0,15
62,DK,2013,voluntary,100.0,0.0,15
63,DK,2014,voluntary,100.0,0.0,13
64,DK,2015,voluntary,100.0,0.0,15
65,DK,2016,obligatory,100.0,0.0,15
66,DK,2016,voluntary,100.0,0.0,15
67,DK,2017,voluntary,100.0,0.0,15
68,DK,2018,voluntary,100.0,0.0,24
69,DK,2019,obligatory,100.0,0.0,21
70,DK,2019,voluntary,100.0,0.0,21
71,DK,2020,voluntary,100.0,14.29,28
