,year,customSampleId,sampCountry,origCountry,progType,name,limit,resVal,acceptable,obligatory_programme,total_samples,unacceptable_count,unacceptable_percentage
4,2011,5D8C9,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
13,2011,5D8C9,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.015,False,False,15,15,100.0
18,2011,AF075,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
23,2011,652F9,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
28,2011,3A3DB,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
41,2011,5D8C9,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
44,2011,5D8C9,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
49,2011,5D8C9,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
63,2011,652F9,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
68,2011,652F9,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
73,2011,A56B1,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
77,2011,EFA3A,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
81,2011,A12E1,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
90,2011,A12E1,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.011,False,False,15,15,100.0
101,2011,D1E41,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
103,2011,51826,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
128,2011,EFA3A,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
135,2011,C56E3,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
143,2011,D1E41,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.015,False,False,15,15,100.0
151,2011,D1E41,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
152,2011,D1E41,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
154,2011,F0120,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.01,False,False,15,15,100.0
172,2011,3A3DB,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
182,2011,A12E1,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
185,2011,A12E1,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
192,2011,C56E3,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.011,False,False,15,15,100.0
197,2011,C56E3,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
200,2011,C56E3,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
203,2011,F0120,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
204,2011,F0120,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
219,2011,3A3DB,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
228,2011,C56E3,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
239,2011,51826,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
244,2011,51826,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
255,2011,A12E1,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
261,2011,4CF7A,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
270,2011,4CF7A,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.009,False,False,15,15,100.0
279,2011,F0120,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
292,2011,4CF7A,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
293,2011,4CF7A,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
299,2011,4CF7A,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
308,2011,D1E41,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
325,2011,6AE29,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
333,2011,6AE29,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.01,False,False,15,15,100.0
346,2011,6AE29,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
347,2011,6AE29,CZ,CZ,K018A,Endrin,0.0008,0.001,False,False,15,15,100.0
352,2011,8E822,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
362,2011,6AE29,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
371,2011,A56B1,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
396,2011,E6309,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
397,2011,AF075,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
406,2011,AF075,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.012,False,False,15,15,100.0
411,2011,8E822,CZ,CZ,K018A,Profenofos,0.01,0.02,False,False,15,15,100.0
419,2011,8E822,CZ,CZ,K018A,Pyrazophos,0.01,0.02,False,False,15,15,100.0
431,2011,652F9,CZ,CZ,K018A,Tecnazene,0.01,0.03,False,False,15,15,100.0
449,2011,E6309,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.011,False,False,15,15,100.0
