,year,customSampleId,sampCountry,origCountry,progType,long_name,limit,resVal,total_samples,unacceptable_count
4,2011,5D8C9,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
13,2011,5D8C9,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.015,15,15
14,2011,5D8C9,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
18,2011,AF075,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
23,2011,652F9,CZ,CZ,K018A,Endrin,0.0008,0.001,15,15
28,2011,3A3DB,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
34,2011,EFA3A,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
41,2011,5D8C9,CZ,CZ,K018A,Endrin,0.0008,0.001,15,15
44,2011,5D8C9,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
49,2011,5D8C9,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
56,2011,AF075,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
63,2011,652F9,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
68,2011,652F9,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
73,2011,A56B1,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
77,2011,EFA3A,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
81,2011,A12E1,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
90,2011,A12E1,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.011,15,15
96,2011,5D8C9,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
101,2011,D1E41,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
103,2011,51826,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
114,2011,51826,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
120,2011,A56B1,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
125,2011,652F9,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
128,2011,EFA3A,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
135,2011,C56E3,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
143,2011,D1E41,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.015,15,15
145,2011,D1E41,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
151,2011,D1E41,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
152,2011,D1E41,CZ,CZ,K018A,Endrin,0.0008,0.001,15,15
154,2011,F0120,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.01,15,15
156,2011,F0120,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
166,2011,3A3DB,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
172,2011,3A3DB,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
176,2011,EFA3A,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
179,2011,A12E1,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
182,2011,A12E1,CZ,CZ,K018A,Endrin,0.0008,0.001,15,15
185,2011,A12E1,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
192,2011,C56E3,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.011,15,15
194,2011,C56E3,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
197,2011,C56E3,CZ,CZ,K018A,Endrin,0.0008,0.001,15,15
200,2011,C56E3,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
203,2011,F0120,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
204,2011,F0120,CZ,CZ,K018A,Endrin,0.0008,0.001,15,15
219,2011,3A3DB,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
228,2011,C56E3,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
234,2011,C56E3,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
239,2011,51826,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
244,2011,51826,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
250,2011,51826,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
255,2011,A12E1,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
261,2011,4CF7A,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
270,2011,4CF7A,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.009,15,15
272,2011,4CF7A,CZ,CZ,K018A,Permethrin (sum of isomers),0.0,0.01,15,15
279,2011,F0120,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
284,2011,F0120,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
288,2011,A12E1,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
292,2011,4CF7A,CZ,CZ,K018A,Profenofos,0.01,0.02,15,15
293,2011,4CF7A,CZ,CZ,K018A,Endrin,0.0008,0.001,15,15
299,2011,4CF7A,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
308,2011,D1E41,CZ,CZ,K018A,Pyrazophos,0.01,0.02,15,15
314,2011,D1E41,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
319,2011,4CF7A,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
325,2011,6AE29,CZ,CZ,K018A,Tecnazene,0.01,0.03,15,15
333,2011,6AE29,CZ,CZ,K018A,Hexachlorobenzene,0.005,0.01,15,15
337,2011,3A3DB,CZ,CZ,K018A,Parathion-methyl,0.01,0.02,15,15
