,year,customSampleId,sampCountry,origCountry,progType,long_name,limit,resVal,acceptable,obligatory_programme,total_samples,unacceptable_count,unacceptable_percentage
25699,2011,D7221,IE,IE,K005A,Iprovalicarb,0.01,0.024,False,False,59,1,1.69
35052,2011,8F259,BE,BE,K005A,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),0.006,0.01642,False,False,33,9,27.27
35054,2011,8F259,BE,BE,K005A,Dieldrin,0.006,0.01642,False,False,33,9,27.27
35055,2011,8F259,BE,BE,K005A,Hexachlorobenzene,0.005,0.01009,False,False,33,9,27.27
35079,2011,BFEA3,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.01304,False,False,33,9,27.27
35137,2011,B5509,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.03572,False,False,33,9,27.27
35302,2011,1AEAD,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.01383,False,False,33,9,27.27
35316,2011,34D80,BE,BE,K005A,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),0.006,0.01438,False,False,33,9,27.27
35318,2011,34D80,BE,BE,K005A,Dieldrin,0.006,0.01438,False,False,33,9,27.27
35319,2011,34D80,BE,BE,K005A,Hexachlorobenzene,0.005,0.01168,False,False,33,9,27.27
35368,2011,BEDD0,BE,BE,K005A,Chlordane (sum of cis- and trans-isomers and oxychlordane expressed as chlordane),0.002,0.04149,False,False,33,9,27.27
35369,2011,BEDD0,BE,BE,K005A,"Chlordane, trans-",0.002,0.04149,False,False,33,9,27.27
35396,2011,608DD,BE,BE,K005A,"DDE, o,p-",0.04,0.0446,False,False,33,9,27.27
35397,2011,608DD,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.0194,False,False,33,9,27.27
35499,2011,DA43A,BE,BE,K005A,"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",0.04,0.062,False,False,33,9,27.27
35503,2011,DA43A,BE,BE,K005A,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),0.006,0.01095,False,False,33,9,27.27
35505,2011,DA43A,BE,BE,K005A,Heptachlor epoxide,0.004,0.02964,False,False,33,9,27.27
35506,2011,DA43A,BE,BE,K005A,Hexachlorobenzene,0.005,0.01177,False,False,33,9,27.27
35508,2011,DA43A,BE,BE,K005A,Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),0.004,0.02964,False,False,33,9,27.27
35552,2011,DA43A,BE,BE,K005A,Dieldrin,0.006,0.01095,False,False,33,9,27.27
35570,2011,F93F1,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.017,False,False,33,9,27.27
55022,2012,D748C,DE,DE,K005A,Hexachlorobenzene,0.005,0.006,False,False,536,14,2.61
63511,2012,1C416,DE,DE,K005A,Permethrin (sum of isomers),0.0,0.0005,False,False,536,14,2.61
64921,2012,06381,DE,DE,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,1.13,False,False,536,14,2.61
64929,2012,3D653,DE,DE,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,1.96,False,False,536,14,2.61
64930,2012,5C48C,DE,DE,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,89.48,False,False,536,14,2.61
64933,2012,C5B79,DE,DE,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,0.16,False,False,536,14,2.61
64949,2012,C228C,DE,DE,K005A,Not in list,0.01,0.57,False,False,536,14,2.61
64962,2012,738D3,DE,DE,K005A,Not in list,0.01,0.6,False,False,536,14,2.61
64963,2012,B6B40,DE,DE,K005A,Not in list,0.01,0.18,False,False,536,14,2.61
64964,2012,6CD49,DE,DE,K005A,Not in list,0.01,0.44,False,False,536,14,2.61
64965,2012,AA4F3,DE,DE,K005A,Not in list,0.01,1.82,False,False,536,14,2.61
64977,2012,06381,DE,DE,K005A,Not in list,0.01,0.15,False,False,536,14,2.61
64979,2012,5C48C,DE,DE,K005A,Not in list,0.01,0.21,False,False,536,14,2.61
64980,2012,A6447,DE,DE,K005A,Not in list,0.01,0.15,False,False,536,14,2.61
64984,2012,C5B79,DE,DE,K005A,Not in list,0.01,0.15,False,False,536,14,2.61
64986,2012,3D653,DE,DE,K005A,Not in list,0.01,0.1,False,False,536,14,2.61
64989,2012,780C6,DE,DE,K005A,Not in list,0.01,0.09,False,False,536,14,2.61
64990,2012,3FD15,DE,DE,K005A,Not in list,0.01,0.074,False,False,536,14,2.61
95398,2012,02D83,BE,BE,K005A,"Heptachlorepoxide, cis-",0.004,0.01532,False,False,34,2,5.88
95460,2012,B5A39,BE,BE,K005A,Hexachlorobenzene,0.005,0.01,False,False,34,2,5.88
95502,2012,B5A39,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.012,False,False,34,2,5.88
116798,2013,61F1C,DE,DE,K009A,Benzalkonium chloride (BAC),0.1,0.23,False,True,587,2,0.34
130302,2013,8DA29,DE,DE,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,1.72,False,False,587,2,0.34
131159,2013,B3CE4,ES,ES,K009A,"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",0.04,1.1,False,True,44,1,2.27
131187,2013,B3CE4,ES,ES,K009A,"DDE, p,p-",0.04,1.0,False,True,44,1,2.27
179058,2013,127B1,SK,SK,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,0.15,False,False,20,1,5.0
195334,2013,F230F,BE,BE,K005A,Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),0.004,0.02189,False,False,74,8,10.81
195346,2013,EBD1F,BE,BE,K005A,Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),0.004,0.03549,False,False,74,8,10.81
195352,2013,7C29C,BE,BE,K005A,Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),0.004,0.01016,False,False,74,8,10.81
195375,2013,4F638,BE,BE,K005A,Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),0.004,0.01097,False,False,74,8,10.81
195379,2013,F230F,BE,BE,K005A,"Heptachlorepoxide, cis-",0.004,0.02189,False,False,74,8,10.81
195390,2013,EBD1F,BE,BE,K005A,"Heptachlorepoxide, cis-",0.004,0.02086,False,False,74,8,10.81
195396,2013,7C29C,BE,BE,K005A,"Heptachlorepoxide, cis-",0.004,0.01016,False,False,74,8,10.81
