,year,customSampleId,sampCountry,origCountry,progType,long_name,limit,resVal,total_samples,unacceptable_count
25699,2011,D7221,IE,IE,K005A,Iprovalicarb,0.01,0.024,59,1
35052,2011,8F259,BE,BE,K005A,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),0.006,0.01642,33,9
35054,2011,8F259,BE,BE,K005A,Dieldrin,0.006,0.01642,33,9
35055,2011,8F259,BE,BE,K005A,Hexachlorobenzene,0.005,0.01009,33,9
35079,2011,BFEA3,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.01304,33,9
35137,2011,B5509,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.03572,33,9
35302,2011,1AEAD,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.01383,33,9
35316,2011,34D80,BE,BE,K005A,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),0.006,0.01438,33,9
35318,2011,34D80,BE,BE,K005A,Dieldrin,0.006,0.01438,33,9
35319,2011,34D80,BE,BE,K005A,Hexachlorobenzene,0.005,0.01168,33,9
35368,2011,BEDD0,BE,BE,K005A,Chlordane (sum of cis- and trans-isomers and oxychlordane expressed as chlordane),0.002,0.04149,33,9
35369,2011,BEDD0,BE,BE,K005A,"Chlordane, trans-",0.002,0.04149,33,9
35396,2011,608DD,BE,BE,K005A,"DDE, o,p-",0.04,0.0446,33,9
35397,2011,608DD,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.0194,33,9
35499,2011,DA43A,BE,BE,K005A,"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",0.04,0.062,33,9
35503,2011,DA43A,BE,BE,K005A,Aldrin and Dieldrin (Aldrin and dieldrin combined expressed as dieldrin),0.006,0.01095,33,9
35505,2011,DA43A,BE,BE,K005A,Heptachlor epoxide,0.004,0.02964,33,9
35506,2011,DA43A,BE,BE,K005A,Hexachlorobenzene,0.005,0.01177,33,9
35508,2011,DA43A,BE,BE,K005A,Heptachlor (sum of heptachlor and heptachlor epoxide expressed as heptachlor),0.004,0.02964,33,9
35552,2011,DA43A,BE,BE,K005A,Dieldrin,0.006,0.01095,33,9
35570,2011,F93F1,BE,BE,K005A,"Hexachlorocyclohexane (HCH), beta-isomer",0.01,0.017,33,9
55022,2012,D748C,DE,DE,K005A,Hexachlorobenzene,0.005,0.006,536,14
63511,2012,1C416,DE,DE,K005A,Permethrin (sum of isomers),0.0,0.0005,536,14
64921,2012,06381,DE,DE,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,1.13,536,14
64929,2012,3D653,DE,DE,K005A,"Didecyldimethylammonium chloride (mixture of alkyl-quaternary ammonium salts with alkyl chain lengths of C8, C10 and C12)",0.1,1.96,536,14
