,tag,AT,BE,BG,CZ,DE,EE,GB,IE,IT,SK
0,2-phenylphenol (sum),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
1,Abamectin (sum),0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0
2,Azinphos-ethyl,0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0
3,BAC 12,0.0,0.0,0.0,0.0,0.05,0.0,16.02,0.0,4.47,0.0
4,BAC 14,0.0,0.0,0.0,0.0,0.0,0.0,10.85,0.0,3.16,0.0
5,Benzalkonium chloride,0.0,0.0,0.0,0.0,0.77,0.0,16.54,0.0,1.05,0.0
6,Bifenthrin (sum),0.0,0.0,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0
7,Bromuconazole (sum),0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0
8,Chlorate,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0
9,Copper compounds,0.0,0.0,0.0,0.0,4.66,0.0,0.0,0.0,0.26,0.0
10,DDAC (mix),0.0,0.0,0.0,0.0,0.87,0.0,3.88,0.0,0.0,3.23
11,DDT (sum),0.0,2.45,84.62,78.12,9.98,20.0,2.07,2.78,0.26,0.0
12,Endosulfan (sum),0.0,1.96,0.0,7.81,0.2,0.0,0.0,0.0,0.0,0.0
13,HCH-alpha,0.0,0.98,0.0,7.81,0.15,0.0,0.0,0.0,0.0,0.0
14,HCH-beta,0.0,13.24,0.0,7.81,0.31,0.0,0.0,0.0,0.0,0.0
15,Heptachlor (sum),0.0,0.49,0.0,7.81,0.0,0.0,0.0,0.0,0.0,0.0
16,Hexachlorobenzene,6.32,0.49,0.0,66.67,10.03,26.67,0.0,0.0,0.0,0.0
17,Mercury compounds,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0
18,Piperonyl Butoxide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0
