,tag,AT,BE,CY,CZ,DE,DK,ES,FR,GB,HR,HU,IE,IT,MK,NL,NO,PL,PT,RO,SK
0,BAC 12,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.34,0.0,0.13,0.0,0.0,0.0,0.0,0.0
1,Benzalkonium chloride,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.43,0.0,0.0,0.22,0.04,0.0,0.13,0.0,0.0,0.0,0.0,0.0
2,Bromide ion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
3,Chlorate,0.0,0.35,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.04,0.0,0.22,0.0,0.0,3.12,0.0,0.0
4,Copper compounds,0.62,0.0,4.04,3.08,6.77,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.17,6.35,0.0,0.55,0.0,0.0,0.0,0.0
5,Cypermethrin (sum),0.0,0.0,0.0,0.0,0.02,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,DDAC (mix),0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,4.76
7,DDT (sum),0.0,2.94,3.14,2.64,11.09,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,23.39,0.0
8,Dieldrin (sum),0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0
9,Famoxadone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Fosetyl-Al (sum),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,HCH-alpha,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0
12,HCH-beta,0.0,2.77,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0
13,Heptachlor (sum),0.0,1.04,0.0,0.0,0.07,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0
14,Hexachlorobenzene,0.62,1.56,0.0,0.88,18.63,0.0,0.0,0.0,0.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0
15,Mercury compounds,0.0,0.0,0.0,0.0,0.45,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Methoxychlor,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
