,tag,AA,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,EU,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,MA,MK,NL,NO,NZ,PL,PT,RO,SK,XX
0,2-phenylphenol (sum),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.11,0.0,0.0,0.0,10.66,0.09,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
1,Abamectin (sum),0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Acephate,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Acetochlor,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Aclonifen,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Azinphos-ethyl,0.0,0.05,0.0,0.0,0.0,0.0,3.6,0.02,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,BAC 12,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.43,2.33,0.0,0.0,0.0,0.18,1.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BAC 14,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.18,0.61,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Benzalkonium chloride,12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.43,2.33,0.0,0.0,0.0,0.36,0.24,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.05
9,Bromide ion,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Bromuconazole (sum),0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Chlorate,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,2.7,0.04,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.11,3.12,0.0,0.0,0.0
12,Chlordane (sum),0.0,0.0,0.15,0.0,0.0,0.0,3.37,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.98,6.25,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0
13,Chlorobenzilate,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.98,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Copper compounds,0.0,0.52,1.36,0.0,6.67,3.98,1.57,7.1,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.16,0.0,9.09,0.0,0.0,6.35,1.0,0.51,0.0,0.0,0.0,0.0,0.0,1.17
15,Cypermethrin (sum),0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.02,0.0,0.0,0.23,50.0,0.0,0.0,0.0,0.0,0.0,12.87,0.0,0.04,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,DDAC (mix),0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.83,0.0,0.0,0.0,0.0,0.0,0.43,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.11,0.0,0.0,2.47,0.05
17,DDT (sum),0.0,0.26,3.17,27.66,0.0,4.42,35.96,12.75,0.0,3.12,2.1,50.0,0.0,0.22,0.03,0.88,1.96,13.24,0.81,1.26,3.55,0.0,1.89,0.0,0.0,0.2,0.0,53.33,0.96,0.0,21.98,41.98,0.5
18,Dieldrin (sum),0.0,0.0,0.91,0.0,0.0,0.0,3.6,0.07,0.0,0.0,0.0,50.0,0.0,0.43,0.03,0.0,0.0,13.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.65,0.0,0.05
