,sampCountry,year,samples_count,pesticides_samples_count
0,AT,2011,282,2
1,AT,2012,300,3
2,AT,2013,297,0
3,AT,2014,301,2
4,AT,2015,438,16
5,AT,2016,128,0
6,AT,2017,3,0
7,AT,2018,1,0
8,AT,2019,32,0
9,AT,2022,10,10
10,CY,2011,34,1
11,CY,2012,30,0
12,CY,2013,30,1
13,CY,2014,30,3
14,CY,2015,41,4
15,CY,2016,26,2
16,CY,2017,25,0
17,CY,2019,12,0
18,CY,2020,1,0
19,CY,2022,12,0
20,CY,2023,5,5
21,CZ,2011,15,15
22,CZ,2012,18,18
23,CZ,2013,22,6
24,CZ,2014,16,7
25,CZ,2015,35,18
26,CZ,2016,35,17
27,CZ,2017,62,17
28,CZ,2018,27,12
29,CZ,2019,26,13
30,CZ,2020,24,11
31,CZ,2021,24,10
32,CZ,2022,26,12
33,CZ,2023,46,0
34,DE,2011,365,217
35,DE,2012,806,378
36,DE,2013,750,345
37,DE,2014,616,341
38,DE,2015,600,224
39,DE,2016,404,93
40,DE,2017,333,74
41,DE,2018,395,65
42,DE,2019,484,94
43,DE,2021,415,95
44,DE,2022,380,43
45,DE,2023,297,15
46,DK,2011,1,0
47,DK,2012,15,0
48,DK,2013,15,0
49,DK,2014,13,0
50,DK,2015,21,0
51,DK,2016,15,0
52,DK,2017,15,0
53,DK,2018,24,0
54,DK,2019,21,0
55,DK,2020,28,7
56,DK,2021,31,8
57,DK,2022,49,1
58,DK,2023,49,9
59,ES,2011,2,0
60,ES,2012,23,3
61,ES,2013,44,1
62,ES,2014,19,0
63,ES,2015,93,6
64,ES,2016,81,0
65,ES,2017,10,0
66,ES,2018,3,0
67,ES,2019,67,0
68,ES,2020,4,0
69,ES,2021,3,0
70,ES,2022,61,0
71,ES,2023,6,0
72,FI,2012,18,0
73,FI,2013,14,0
74,FI,2015,8,0
75,FI,2016,20,0
76,FI,2019,12,0
77,FI,2022,12,0
78,FR,2012,60,0
79,FR,2013,68,2
80,FR,2015,2,0
81,FR,2016,67,0
82,FR,2017,62,0
83,FR,2018,200,1
84,FR,2019,409,2
85,FR,2020,179,0
86,FR,2021,160,1
87,FR,2022,309,1
88,FR,2023,8,0
89,GR,2011,10,0
90,GR,2012,15,0
91,GR,2013,15,0
92,GR,2014,3,0
93,GR,2015,13,0
94,GR,2016,15,0
95,GR,2019,9,0
96,GR,2022,2,0
97,GR,2023,23,0
98,IE,2011,59,1
99,IE,2012,82,1
100,IE,2013,65,0
101,IE,2014,55,0
102,IE,2015,68,2
103,IE,2016,90,1
104,IE,2017,64,2
105,IE,2018,58,0
106,IE,2019,74,0
107,IE,2021,90,25
108,IE,2022,90,5
109,IE,2023,84,3
110,IT,2011,15,0
111,IT,2012,48,0
112,IT,2013,94,0
113,IT,2014,161,1
114,IT,2015,266,0
115,IT,2016,193,8
116,IT,2017,224,10
117,IT,2018,185,3
118,IT,2019,322,3
119,IT,2020,179,1
120,IT,2021,227,0
121,IT,2022,304,6
122,IT,2023,349,6
123,LU,2013,20,0
124,LU,2016,30,0
125,LU,2019,15,0
126,LU,2022,15,0
127,LV,2012,15,0
128,LV,2013,11,0
129,LV,2015,15,0
130,LV,2016,15,0
131,LV,2019,12,0
132,LV,2022,12,0
133,LV,2023,1,0
134,MT,2012,15,0
135,MT,2013,16,0
136,MT,2015,4,0
137,MT,2016,16,0
138,MT,2019,12,0
139,MT,2022,12,0
140,NL,2012,21,0
141,NL,2013,35,0
142,NL,2015,23,0
143,NL,2016,29,0
144,NL,2019,858,0
145,NL,2020,808,0
146,NL,2021,40,1
147,NL,2022,34,19
148,NO,2012,15,0
149,NO,2013,15,0
150,NO,2015,15,0
151,NO,2016,15,0
152,NO,2019,12,0
153,NO,2022,254,0
154,NO,2023,54,2
155,PL,2011,72,0
156,PL,2012,100,0
157,PL,2013,80,0
158,PL,2014,60,0
159,PL,2015,45,0
160,PL,2016,44,0
161,PL,2019,55,0
162,PL,2021,40,0
163,PL,2022,55,0
164,PL,2023,157,0
165,RO,2011,19,8
166,RO,2012,39,10
167,RO,2013,33,5
168,RO,2014,14,4
169,RO,2015,22,11
170,RO,2016,27,8
171,RO,2017,2,1
172,RO,2019,10,1
173,RO,2022,13,0
174,RO,2023,10,0
175,SE,2012,30,0
176,SE,2013,32,0
177,SE,2015,30,0
178,SE,2016,30,0
179,SE,2019,15,0
180,SE,2020,5,0
181,SE,2021,5,0
182,SE,2022,20,0
183,SE,2023,29,0
184,SI,2012,15,0
185,SI,2013,10,0
186,SI,2014,5,0
187,SI,2015,30,0
188,SI,2016,25,0
189,SI,2017,4,0
190,SI,2018,10,0
191,SI,2019,12,0
192,SI,2020,16,0
193,SI,2021,10,0
194,SI,2022,12,0
195,SI,2023,22,0
196,SK,2012,15,12
197,SK,2013,21,17
198,SK,2015,16,12
199,SK,2016,15,10
200,SK,2019,15,1
201,SK,2022,12,0
