,sampCountry,year,samples_count,pesticides_samples_count
0,AT,2012,15,2
1,AT,2015,15,0
2,BE,2012,14,0
3,BE,2015,15,0
4,BG,2012,13,11
5,CY,2012,15,0
6,CY,2015,15,3
7,CZ,2012,18,18
8,CZ,2015,20,18
9,DE,2012,110,55
10,DE,2015,113,43
11,DK,2012,8,0
12,DK,2015,6,0
13,EE,2012,15,8
14,EE,2015,15,1
15,ES,2012,21,3
16,ES,2015,72,6
17,FI,2012,18,0
18,FI,2015,8,0
19,FR,2012,60,0
20,GB,2012,92,8
21,GB,2015,107,38
22,GR,2012,15,0
23,GR,2015,13,0
24,HR,2015,26,0
25,HU,2012,9,0
26,HU,2015,15,0
27,IE,2012,15,1
28,IE,2015,15,2
29,IT,2012,13,0
30,IT,2015,51,0
31,LT,2012,15,0
32,LT,2015,14,2
33,LV,2012,15,0
34,LV,2015,15,0
35,MT,2012,15,0
36,MT,2015,4,0
37,NL,2012,21,0
38,NL,2015,23,0
39,NO,2012,15,0
40,NO,2015,15,0
41,PL,2012,88,0
42,PL,2015,45,0
43,RO,2012,16,0
44,SE,2012,30,0
45,SE,2015,30,0
46,SI,2012,15,0
47,SI,2015,15,0
48,SK,2012,15,12
49,SK,2015,15,12
