,sampCountry,year,samples_count,pesticides_samples_count
0,AT,2014,8,2
1,AT,2015,84,9
2,AT,2016,49,0
3,AT,2017,2,0
4,AT,2018,1,0
5,CZ,2011,15,15
6,CZ,2012,18,18
7,CZ,2013,6,6
8,CZ,2014,9,7
9,CZ,2015,20,18
10,CZ,2016,20,17
11,CZ,2017,19,15
12,CZ,2018,17,11
13,CZ,2019,12,12
14,CZ,2020,12,11
15,CZ,2021,12,9
16,CZ,2022,12,12
17,CZ,2023,11,0
18,DE,2011,145,39
19,DE,2012,160,45
20,DE,2013,163,59
21,DE,2014,286,110
22,DE,2015,89,54
23,DE,2016,38,7
24,DE,2017,40,9
25,DE,2018,204,37
26,DE,2019,41,8
27,DE,2021,234,58
28,DE,2022,45,11
29,DE,2023,115,2
30,DK,2012,14,0
31,DK,2015,6,0
32,DK,2021,1,0
33,ES,2012,3,0
34,ES,2015,10,0
35,ES,2016,16,0
36,ES,2017,3,0
37,ES,2018,1,0
38,FR,2019,4,0
39,GR,2012,15,0
40,GR,2015,13,0
41,IE,2012,15,1
42,IE,2016,6,0
43,IT,2011,10,0
44,IT,2012,17,0
45,IT,2013,7,0
46,IT,2014,59,1
47,IT,2015,102,0
48,IT,2016,29,4
49,IT,2017,30,6
50,IT,2018,18,3
51,IT,2019,12,3
52,IT,2020,5,1
53,IT,2021,8,0
54,IT,2022,9,1
55,IT,2023,8,2
56,MT,2012,15,0
57,MT,2015,4,0
58,MT,2016,2,0
59,NL,2012,21,0
60,NL,2015,23,0
61,PL,2011,51,0
62,PL,2012,89,0
63,PL,2013,50,0
64,PL,2014,30,0
65,PL,2015,45,0
66,PL,2016,5,0
67,RO,2012,16,0
68,RO,2013,1,0
69,SI,2012,15,0
70,SI,2015,15,0
71,SI,2016,10,0
72,SI,2020,6,0
73,SK,2013,1,1
