,sampCountry,year,samples_count,pesticides_samples_count
0,AT,2013,9,0
1,AT,2016,15,0
2,AT,2019,32,0
3,AT,2022,10,10
4,BA,2022,12,0
5,BE,2013,15,0
6,BE,2016,15,0
7,BE,2019,11,0
8,BE,2022,16,0
9,BG,2013,14,0
10,CY,2013,15,1
11,CY,2016,15,1
12,CY,2019,12,0
13,CY,2022,12,0
14,CZ,2013,16,0
15,CZ,2016,15,0
16,CZ,2019,14,1
17,CZ,2022,14,0
18,DE,2013,271,110
19,DE,2016,128,18
20,DE,2019,197,52
21,DE,2022,119,16
22,DK,2013,15,0
23,DK,2016,15,0
24,DK,2019,21,0
25,DK,2022,49,1
26,EE,2013,13,0
27,EE,2016,14,0
28,EE,2019,13,0
29,ES,2013,44,1
30,ES,2016,61,0
31,ES,2019,67,0
32,ES,2022,52,0
33,FI,2013,14,0
34,FI,2016,20,0
35,FI,2019,12,0
36,FI,2022,12,0
37,FR,2013,66,2
38,FR,2016,67,0
39,FR,2019,405,2
40,FR,2022,309,1
41,GB,2013,266,0
42,GB,2019,297,2
43,GR,2013,15,0
44,GR,2016,15,0
45,GR,2019,5,0
46,HR,2016,33,0
47,HR,2019,15,0
48,HR,2022,14,0
49,HU,2013,50,1
50,HU,2019,6,0
51,IE,2013,65,0
52,IE,2016,15,0
53,IE,2019,12,0
54,IE,2022,12,1
55,IT,2013,38,0
56,IT,2016,86,0
57,IT,2019,147,0
58,IT,2022,119,1
59,LT,2013,15,0
60,LT,2016,6,0
61,LT,2019,2,0
62,LU,2013,20,0
63,LU,2016,30,0
64,LU,2019,15,0
65,LU,2022,15,0
66,LV,2013,11,0
67,LV,2016,15,0
68,LV,2019,12,0
69,LV,2022,12,0
70,MT,2013,16,0
71,MT,2016,14,0
72,MT,2019,12,0
73,MT,2022,12,0
74,NL,2013,35,0
75,NL,2016,29,0
76,NL,2019,858,0
77,NL,2022,34,19
78,NO,2013,15,0
79,NO,2016,15,0
80,NO,2019,12,0
81,NO,2022,254,0
82,PL,2013,30,0
83,PL,2016,39,0
84,PL,2019,55,0
85,PL,2022,53,0
86,PT,2016,18,0
87,PT,2019,7,0
88,RO,2013,32,5
89,RO,2016,27,8
90,RO,2019,10,1
91,RO,2022,13,0
92,SE,2013,32,0
93,SE,2016,30,0
94,SE,2019,15,0
95,SE,2022,20,0
96,SI,2013,10,0
97,SI,2016,15,0
98,SI,2019,12,0
99,SI,2022,12,0
100,SK,2013,15,13
101,SK,2016,15,10
102,SK,2019,15,1
103,SK,2022,12,0
104,XI,2022,72,0
