,sampCountry,year,samples_count,pesticides_samples_count
0,AT,2011,282,2
1,AT,2012,285,1
2,AT,2013,288,0
3,AT,2014,293,0
4,AT,2015,339,7
5,AT,2016,64,0
6,AT,2017,1,0
7,AT,2019,20,0
8,AT,2022,10,10
9,BA,2018,1,0
10,BA,2019,10,0
11,BE,2011,33,11
12,BE,2012,34,2
13,BE,2013,59,10
14,BE,2014,90,7
15,BE,2015,19,2
16,BE,2016,65,6
17,BE,2019,11,0
18,BE,2020,46,0
19,BE,2021,37,0
20,BE,2022,16,0
21,BE,2023,80,2
22,BE,2024,73,2
23,BG,2013,14,0
24,BG,2016,15,0
25,CY,2011,34,1
26,CY,2012,15,0
27,CY,2013,15,0
28,CY,2014,30,3
29,CY,2015,26,1
30,CY,2016,26,2
31,CY,2017,25,0
32,CY,2019,12,0
33,CY,2020,1,0
34,CY,2023,5,5
35,CY,2024,7,4
36,CZ,2013,16,0
37,CZ,2014,7,0
38,CZ,2015,15,0
39,CZ,2016,15,0
40,CZ,2017,43,2
41,CZ,2018,10,1
42,CZ,2020,12,0
43,CZ,2021,12,1
44,CZ,2023,35,0
45,CZ,2024,34,9
46,DE,2011,220,178
47,DE,2012,536,278
48,DE,2013,316,176
49,DE,2014,330,231
50,DE,2015,398,127
51,DE,2016,238,68
52,DE,2017,293,65
53,DE,2018,191,28
54,DE,2019,246,34
55,DE,2021,181,37
56,DE,2022,216,16
57,DE,2023,182,13
58,DE,2024,195,20
59,DK,2011,1,0
60,DK,2012,1,0
61,DK,2013,15,0
62,DK,2014,13,0
63,DK,2015,15,0
64,DK,2016,15,0
65,DK,2017,15,0
66,DK,2018,24,0
67,DK,2019,21,0
68,DK,2020,28,7
69,DK,2021,30,8
70,DK,2022,49,1
71,DK,2023,49,9
72,DK,2024,40,0
73,EE,2013,13,0
74,EE,2016,14,0
75,EE,2019,13,0
76,ES,2011,2,0
77,ES,2012,2,0
78,ES,2013,1,0
79,ES,2014,19,0
80,ES,2015,21,0
81,ES,2016,19,0
82,ES,2017,7,0
83,ES,2018,2,0
84,ES,2019,3,0
85,ES,2020,4,0
86,ES,2021,3,0
87,ES,2022,21,0
88,ES,2023,6,0
89,ES,2024,27,4
90,FR,2013,68,2
91,FR,2015,2,0
92,FR,2016,67,0
93,FR,2017,62,0
94,FR,2018,200,1
95,FR,2019,405,2
96,FR,2020,179,0
97,FR,2021,160,1
98,FR,2022,309,1
99,FR,2023,8,0
100,FR,2024,40,0
101,GB,2011,248,0
102,GB,2012,249,0
103,GB,2013,266,0
104,GB,2014,270,0
105,GB,2015,260,0
106,GB,2016,265,3
107,GB,2017,269,2
108,GB,2018,279,7
109,GB,2019,297,2
110,GB,2020,172,0
111,GR,2011,10,0
112,GR,2014,3,0
113,GR,2016,15,0
114,GR,2019,4,0
115,GR,2022,2,0
116,GR,2023,23,0
117,GR,2024,10,0
118,HR,2015,30,10
119,HR,2016,33,0
120,HR,2019,15,0
121,HR,2022,14,0
122,HR,2024,9,0
123,HU,2012,8,0
124,HU,2013,5,0
125,HU,2014,54,1
126,HU,2015,4,0
127,HU,2016,22,0
128,HU,2017,10,0
129,HU,2018,10,0
130,HU,2019,16,0
131,IE,2011,59,1
132,IE,2012,67,0
133,IE,2013,65,0
134,IE,2014,55,0
135,IE,2015,53,0
136,IE,2016,84,1
137,IE,2017,64,2
138,IE,2018,58,0
139,IE,2019,62,0
140,IE,2021,90,25
141,IE,2022,90,5
142,IE,2023,84,3
143,IE,2024,78,1
144,IS,2018,10,0
145,IS,2019,10,0
146,IT,2011,5,0
147,IT,2012,18,0
148,IT,2013,61,0
149,IT,2014,102,0
150,IT,2015,120,0
151,IT,2016,105,4
152,IT,2017,194,4
153,IT,2018,167,0
154,IT,2019,261,0
155,IT,2020,174,0
156,IT,2021,219,0
157,IT,2022,271,5
158,IT,2023,341,4
159,IT,2024,155,1
160,LT,2013,15,0
161,LT,2015,7,0
162,LT,2017,9,0
163,LT,2018,15,0
164,LT,2022,4,0
165,LT,2023,24,0
166,LT,2024,19,0
167,LU,2016,30,0
168,LU,2019,15,0
169,LU,2022,15,0
170,LU,2024,1,0
171,LV,2023,1,0
172,LV,2024,5,0
173,ME,2023,56,0
174,ME,2024,1,0
175,MK,2023,29,0
176,MK,2024,34,4
177,MT,2013,16,0
178,MT,2016,14,0
179,MT,2024,5,0
180,NL,2013,35,0
181,NL,2016,29,0
182,NL,2019,858,0
183,NL,2020,808,0
184,NL,2021,40,1
185,NL,2022,34,19
186,NL,2024,443,4
187,NO,2022,242,0
188,NO,2023,54,2
189,NO,2024,11,0
190,PL,2011,21,0
191,PL,2012,11,0
192,PL,2013,30,0
193,PL,2014,30,0
194,PL,2016,39,0
195,PL,2019,55,0
