,sampCountry,year,unique_sample_with_pesticides_count,obligatory_unique_sample_with_pesticides_count,voluntary_unique_sample_with_pesticides_count
0,AT,2012,2,2,0
1,AT,2014,2,0,2
2,AT,2015,9,0,9
3,BE,2011,15,0,15
4,BE,2012,2,0,2
5,BE,2013,11,0,11
6,BE,2014,5,0,5
7,BG,2012,11,11,11
8,CY,2015,3,3,0
9,CZ,2011,15,0,15
10,CZ,2012,18,18,18
11,CZ,2013,6,0,6
12,CZ,2014,7,0,7
13,CZ,2015,18,18,18
14,CZ,2016,17,0,17
15,CZ,2017,15,0,15
16,CZ,2018,11,0,11
17,CZ,2019,12,0,12
18,CZ,2020,11,0,11
19,CZ,2021,9,0,9
20,CZ,2022,12,0,12
21,CZ,2024,3,0,3
22,DE,2011,39,0,39
23,DE,2012,100,55,45
24,DE,2013,59,0,59
25,DE,2014,110,0,110
26,DE,2015,97,43,54
27,DE,2016,7,0,7
28,DE,2017,9,0,9
29,DE,2018,37,0,37
30,DE,2019,8,0,8
31,DE,2021,58,0,58
32,DE,2022,11,0,11
33,DE,2023,2,0,2
34,DE,2024,9,0,9
35,EE,2012,8,8,8
36,EE,2015,1,1,1
37,ES,2012,3,3,0
38,ES,2015,6,6,0
39,GB,2012,8,8,8
40,GB,2014,15,0,15
41,GB,2015,57,38,57
42,GB,2018,17,0,17
43,IE,2012,1,1,1
44,IE,2015,2,2,0
45,IT,2014,1,0,1
46,IT,2016,4,0,4
47,IT,2017,6,0,6
48,IT,2018,3,0,3
49,IT,2019,3,0,3
50,IT,2020,1,0,1
51,IT,2022,1,0,1
52,IT,2023,2,0,2
53,LT,2015,2,2,0
54,SK,2012,12,12,0
55,SK,2013,1,0,1
56,SK,2015,12,12,0
