,sampCountry,year,unique_sample_with_pesticides_count,obligatory_unique_sample_with_pesticides_count,voluntary_unique_sample_with_pesticides_count
0,AT,2011,2,0,2
1,AT,2012,1,0,1
2,AT,2015,7,0,7
3,AT,2022,10,10,10
4,BE,2011,11,0,11
5,BE,2012,2,0,2
6,BE,2013,10,0,10
7,BE,2014,7,0,7
8,BE,2015,2,0,2
9,BE,2016,6,0,6
10,BE,2023,2,0,2
11,BE,2024,2,0,2
12,CY,2011,1,0,1
13,CY,2013,1,1,0
14,CY,2014,3,0,3
15,CY,2015,1,0,1
16,CY,2016,2,1,2
17,CY,2023,5,0,5
18,CY,2024,4,0,4
19,CZ,2017,2,0,2
20,CZ,2018,1,0,1
21,CZ,2019,1,1,0
22,CZ,2021,1,0,1
23,CZ,2024,9,0,9
24,DE,2011,178,0,178
25,DE,2012,278,0,278
26,DE,2013,286,110,176
27,DE,2014,231,0,231
28,DE,2015,127,0,127
29,DE,2016,86,18,68
30,DE,2017,65,0,65
31,DE,2018,28,0,28
32,DE,2019,86,52,34
33,DE,2021,37,0,37
34,DE,2022,32,16,16
35,DE,2023,13,0,13
36,DE,2024,20,0,20
37,DK,2020,7,0,7
38,DK,2021,8,0,8
39,DK,2022,1,1,1
40,DK,2023,9,0,9
41,ES,2013,1,1,0
42,ES,2024,4,0,4
43,FR,2013,2,2,2
44,FR,2018,1,0,1
45,FR,2019,2,2,2
46,FR,2021,1,0,1
47,FR,2022,1,1,1
48,GB,2016,3,0,3
49,GB,2017,2,0,2
50,GB,2018,7,0,7
51,GB,2019,2,2,2
52,HR,2015,10,0,10
53,HU,2013,1,1,0
54,HU,2014,1,0,1
55,HU,2020,13,0,13
56,HU,2021,7,0,7
57,HU,2023,20,0,20
58,IE,2011,1,0,1
59,IE,2016,1,0,1
60,IE,2017,2,0,2
61,IE,2021,25,0,25
62,IE,2022,5,1,5
63,IE,2023,3,0,3
64,IE,2024,1,0,1
65,IT,2016,4,0,4
66,IT,2017,4,0,4
67,IT,2022,5,1,5
68,IT,2023,4,0,4
69,IT,2024,1,0,1
70,MK,2024,4,0,4
71,NL,2021,1,0,1
72,NL,2022,19,19,19
73,NL,2024,4,0,4
74,NO,2023,2,0,2
75,PL,2024,1,0,1
76,PT,2023,1,0,1
77,RO,2011,8,0,8
78,RO,2012,10,0,10
79,RO,2013,5,5,5
80,RO,2014,4,0,4
81,RO,2015,11,0,11
82,RO,2016,8,8,8
83,RO,2017,1,0,1
84,RO,2019,1,1,1
85,SK,2013,16,13,3
86,SK,2016,10,10,0
87,SK,2019,1,1,0
