,year,pesticideCount,sampleCount,totalSamplesCount,percentage
0,2011,0,994,1264,78.64
1,2011,1,98,1264,7.75
2,2011,2,143,1264,11.31
3,2011,3,8,1264,0.63
4,2011,4,1,1264,0.08
5,2011,5,3,1264,0.24
6,2011,6,1,1264,0.08
7,2011,7,1,1264,0.08
8,2011,35,15,1264,1.19
9,2012,0,1698,2154,78.83
10,2012,1,259,2154,12.02
11,2012,2,156,2154,7.24
12,2012,3,34,2154,1.58
13,2012,4,6,2154,0.28
14,2012,5,1,2154,0.05
15,2013,0,1772,2171,81.62
16,2013,1,260,2171,11.98
17,2013,2,119,2171,5.48
18,2013,3,15,2171,0.69
19,2013,4,5,2171,0.23
20,2014,0,1443,1829,78.9
21,2014,1,264,1829,14.43
22,2014,2,95,1829,5.19
23,2014,3,21,1829,1.15
24,2014,4,4,1829,0.22
25,2014,5,1,1829,0.05
26,2014,7,1,1829,0.05
27,2015,0,2012,2377,84.64
28,2015,1,174,2377,7.32
29,2015,2,115,2377,4.84
30,2015,3,65,2377,2.73
31,2015,4,8,2377,0.34
32,2015,5,2,2377,0.08
33,2015,6,1,2377,0.04
34,2016,0,1609,1757,91.58
35,2016,1,78,1757,4.44
36,2016,2,44,1757,2.5
37,2016,3,21,1757,1.2
38,2016,4,4,1757,0.23
39,2016,5,1,1757,0.06
40,2017,0,986,1092,90.29
41,2017,1,60,1092,5.49
42,2017,2,21,1092,1.92
43,2017,3,22,1092,2.01
44,2017,4,2,1092,0.18
45,2017,7,1,1092,0.09
46,2018,0,1149,1254,91.63
47,2018,1,57,1254,4.55
48,2018,2,36,1254,2.87
49,2018,3,11,1254,0.88
50,2018,4,1,1254,0.08
51,2019,0,2749,2865,95.95
52,2019,1,80,2865,2.79
53,2019,2,20,2865,0.7
54,2019,3,15,2865,0.52
55,2019,5,1,2865,0.03
56,2020,0,1443,1475,97.83
57,2020,1,7,1475,0.47
58,2020,2,7,1475,0.47
59,2020,3,5,1475,0.34
60,2020,365,4,1475,0.27
61,2020,366,8,1475,0.54
62,2020,368,1,1475,0.07
63,2021,0,989,1136,87.06
64,2021,1,115,1136,10.12
65,2021,2,22,1136,1.94
66,2021,3,2,1136,0.18
67,2021,5,1,1136,0.09
68,2021,315,2,1136,0.18
69,2021,316,3,1136,0.26
70,2021,317,1,1136,0.09
71,2021,322,1,1136,0.09
72,2022,0,1715,1812,94.65
73,2022,1,75,1812,4.14
74,2022,2,12,1812,0.66
75,2022,3,7,1812,0.39
76,2022,4,2,1812,0.11
77,2022,5,1,1812,0.06
78,2023,0,1356,1419,95.56
79,2023,1,35,1419,2.47
80,2023,2,6,1419,0.42
81,2023,3,2,1419,0.14
82,2023,23,1,1419,0.07
83,2023,88,1,1419,0.07
84,2023,362,1,1419,0.07
85,2023,363,4,1419,0.28
86,2023,365,4,1419,0.28
87,2023,366,4,1419,0.28
88,2023,368,5,1419,0.35
89,2024,0,1640,1702,96.36
90,2024,1,46,1702,2.7
91,2024,2,13,1702,0.76
92,2024,3,1,1702,0.06
93,2024,4,1,1702,0.06
94,2024,5,1,1702,0.06
