,year,pesticideCount,sampleCount,totalSamplesCount,percentage
0,2011,0,261,330,79.09
1,2011,1,27,330,8.18
2,2011,2,21,330,6.36
3,2011,3,4,330,1.21
4,2011,5,2,330,0.61
5,2011,35,15,330,4.55
6,2012,0,740,905,81.77
7,2012,1,47,905,5.19
8,2012,2,85,905,9.39
9,2012,3,26,905,2.87
10,2012,4,6,905,0.66
11,2012,5,1,905,0.11
12,2013,0,203,280,72.5
13,2013,1,53,280,18.93
14,2013,2,15,280,5.36
15,2013,3,4,280,1.43
16,2013,4,5,280,1.79
17,2014,0,374,514,72.76
18,2014,1,113,514,21.98
19,2014,2,9,514,1.75
20,2014,3,15,514,2.92
21,2014,4,2,514,0.39
22,2014,5,1,514,0.19
23,2015,0,823,1030,79.9
24,2015,1,78,1030,7.57
25,2015,2,71,1030,6.89
26,2015,3,52,1030,5.05
27,2015,4,5,1030,0.49
28,2015,5,1,1030,0.1
29,2016,0,147,175,84.0
30,2016,1,9,175,5.14
31,2016,2,3,175,1.71
32,2016,3,14,175,8.0
33,2016,4,2,175,1.14
34,2017,0,64,94,68.09
35,2017,1,5,94,5.32
36,2017,2,11,94,11.7
37,2017,3,14,94,14.89
38,2018,0,209,277,75.45
39,2018,1,36,277,13.0
40,2018,2,22,277,7.94
41,2018,3,9,277,3.25
42,2018,4,1,277,0.36
43,2019,0,46,69,66.67
44,2019,1,1,69,1.45
45,2019,2,7,69,10.14
46,2019,3,15,69,21.74
47,2020,0,11,23,47.83
48,2020,2,7,23,30.43
49,2020,3,5,23,21.74
50,2021,0,188,255,73.73
51,2021,1,51,255,20.0
52,2021,2,14,255,5.49
53,2021,3,2,255,0.78
54,2022,0,42,66,63.64
55,2022,1,10,66,15.15
56,2022,2,6,66,9.09
57,2022,3,7,66,10.61
58,2022,4,1,66,1.52
59,2023,0,130,134,97.01
60,2023,1,1,134,0.75
61,2023,2,2,134,1.49
62,2023,3,1,134,0.75
63,2024,0,180,192,93.75
64,2024,1,4,192,2.08
65,2024,2,7,192,3.65
66,2024,3,1,192,0.52
