,year,pesticideCount,sampleCount,totalSamplesCount,percentage
0,2011,0,733,934,78.48
1,2011,1,71,934,7.6
2,2011,2,122,934,13.06
3,2011,3,4,934,0.43
4,2011,4,1,934,0.11
5,2011,5,1,934,0.11
6,2011,6,1,934,0.11
7,2011,7,1,934,0.11
8,2012,0,958,1249,76.7
9,2012,1,212,1249,16.97
10,2012,2,71,1249,5.68
11,2012,3,8,1249,0.64
12,2013,0,1569,1891,82.97
13,2013,1,207,1891,10.95
14,2013,2,104,1891,5.5
15,2013,3,11,1891,0.58
16,2014,0,1069,1315,81.29
17,2014,1,151,1315,11.48
18,2014,2,86,1315,6.54
19,2014,3,6,1315,0.46
20,2014,4,2,1315,0.15
21,2014,7,1,1315,0.08
22,2015,0,1189,1347,88.27
23,2015,1,96,1347,7.13
24,2015,2,44,1347,3.27
25,2015,3,13,1347,0.97
26,2015,4,3,1347,0.22
27,2015,5,1,1347,0.07
28,2015,6,1,1347,0.07
29,2016,0,1462,1582,92.41
30,2016,1,69,1582,4.36
31,2016,2,41,1582,2.59
32,2016,3,7,1582,0.44
33,2016,4,2,1582,0.13
34,2016,5,1,1582,0.06
35,2017,0,922,998,92.38
36,2017,1,55,998,5.51
37,2017,2,10,998,1.0
38,2017,3,8,998,0.8
39,2017,4,2,998,0.2
40,2017,7,1,998,0.1
41,2018,0,940,977,96.21
42,2018,1,21,977,2.15
43,2018,2,14,977,1.43
44,2018,3,2,977,0.2
45,2019,0,2703,2796,96.67
46,2019,1,79,2796,2.83
47,2019,2,13,2796,0.46
48,2019,5,1,2796,0.04
49,2020,0,1432,1439,99.51
50,2020,1,7,1439,0.49
51,2021,0,801,874,91.65
52,2021,1,64,874,7.32
53,2021,2,8,874,0.92
54,2021,5,1,874,0.11
55,2022,0,1673,1746,95.82
56,2022,1,65,1746,3.72
57,2022,2,6,1746,0.34
58,2022,4,1,1746,0.06
59,2022,5,1,1746,0.06
60,2023,0,1226,1265,96.92
61,2023,1,34,1265,2.69
62,2023,2,4,1265,0.32
63,2023,3,1,1265,0.08
64,2024,0,1460,1510,96.69
65,2024,1,42,1510,2.78
66,2024,2,6,1510,0.4
67,2024,4,1,1510,0.07
68,2024,5,1,1510,0.07
