,origCountry,tag,sample_count,percentage
0,AT,Hexachlorobenzene,39,2.02
1,AT,Copper compounds,10,0.52
2,AT,DDT (sum),5,0.26
3,AT,Azinphos-ethyl,1,0.05
4,AT,Lindane,1,0.05
5,BE,HCH-beta,35,5.29
6,BE,DDT (sum),21,3.17
7,BE,Copper compounds,9,1.36
8,BE,Hexachlorobenzene,8,1.21
9,BE,Endosulfan (sum),7,1.06
10,BG,DDT (sum),13,27.66
11,BG,HCH-beta,1,2.13
12,BG,Hexachlorobenzene,1,2.13
13,CY,DDT (sum),10,4.42
14,CY,Copper compounds,9,3.98
15,CZ,DDT (sum),160,35.96
16,CZ,Hexachlorobenzene,130,29.21
17,CZ,Abamectin (sum),16,3.6
18,CZ,Azinphos-ethyl,16,3.6
19,CZ,Chlorobenzilate,16,3.6
20,DE,Hexachlorobenzene,1073,19.01
21,DE,DDT (sum),720,12.75
22,DE,Copper compounds,401,7.1
23,DE,Benzalkonium chloride,66,1.17
24,DE,Mercury compounds,60,1.06
25,DK,Copper compounds,26,6.31
26,DK,Mercury compounds,5,1.21
27,DK,Hexachlorobenzene,3,0.73
28,DK,Lindane,1,0.24
29,EE,Hexachlorobenzene,3,4.69
30,EE,DDT (sum),2,3.12
31,EE,Bromuconazole (sum),1,1.56
32,ES,DDT (sum),9,2.1
33,ES,Cypermethrin (sum),1,0.23
34,FI,Hexachlorobenzene,1,1.11
35,FR,BAC 12,4,0.43
36,FR,Benzalkonium chloride,4,0.43
37,FR,DDAC (mix),4,0.43
38,FR,Dieldrin (sum),4,0.43
39,FR,Hexachlorobenzene,4,0.43
40,GB,BAC 12,67,2.33
41,GB,Benzalkonium chloride,67,2.33
42,GB,BAC 14,40,1.39
43,GB,Chlorate,16,0.56
44,GB,DDAC (mix),10,0.35
45,GR,DDT (sum),1,0.88
46,HR,Hexachlorobenzene,7,6.86
47,HR,Methoxychlor,3,2.94
48,HR,DDT (sum),2,1.96
49,HR,Chlordane (sum),1,0.98
50,HR,Chlorobenzilate,1,0.98
51,HU,DDT (sum),36,13.24
52,HU,Dieldrin (sum),36,13.24
53,HU,Endosulfan (sum),36,13.24
54,HU,HCH-alpha,36,13.24
55,HU,HCH-beta,36,13.24
56,IE,Chlorate,30,2.7
57,IE,Hexachlorobenzene,16,1.44
58,IE,DDT (sum),9,0.81
59,IE,Mercury compounds,5,0.45
60,IE,Benzalkonium chloride,4,0.36
61,IT,Hexachlorobenzene,34,1.38
62,IT,DDT (sum),31,1.26
63,IT,BAC 12,26,1.05
64,IT,BAC 14,15,0.61
65,IT,Benzalkonium chloride,6,0.24
66,LT,DDT (sum),5,3.55
67,LT,Hexachlorobenzene,4,2.84
68,LT,HCH-alpha,1,0.71
69,LU,Copper compounds,10,9.09
70,LV,DDT (sum),1,1.89
71,LV,Hexachlorobenzene,1,1.89
72,MK,Copper compounds,4,6.35
73,NL,Copper compounds,15,1.0
74,NL,Bromide ion,13,0.86
75,NL,Benzalkonium chloride,4,0.27
76,NL,Chlorate,4,0.27
77,NL,DDAC (mix),4,0.27
78,NO,Copper compounds,2,0.51
79,PL,DDT (sum),9,0.96
80,PL,Hexachlorobenzene,2,0.21
81,PL,Chlorate,1,0.11
82,PL,DDAC (mix),1,0.11
83,PL,Mercury compounds,1,0.11
84,PT,Chlorate,1,3.12
85,RO,DDT (sum),40,21.98
86,RO,HCH-alpha,18,9.89
87,RO,Chlordane (sum),13,7.14
88,RO,Hexachlorobenzene,10,5.49
89,RO,Heptachlor (sum of isomers),8,4.4
90,SK,DDT (sum),34,41.98
91,SK,DDAC (mix),2,2.47
92,SK,Hexachlorobenzene,2,2.47
93,SK,Famoxadone,1,1.23
