,origCountry,tag,sample_count,percentage
0,AT,Hexachlorobenzene,12,7.36
1,AT,DDT (sum),1,0.61
2,BE,HCH-beta,20,17.54
3,BE,DDT (sum),4,3.51
4,BE,Endosulfan (sum),3,2.63
5,BE,HCH-alpha,1,0.88
6,BE,Heptachlor (sum),1,0.88
7,BG,DDT (sum),12,85.71
8,CZ,DDT (sum),151,78.65
9,CZ,Hexachlorobenzene,129,67.19
10,CZ,Abamectin (sum),15,7.81
11,CZ,Azinphos-ethyl,15,7.81
12,CZ,Bifenthrin (sum),15,7.81
13,DE,DDT (sum),155,11.09
14,DE,Hexachlorobenzene,147,10.52
15,DE,Copper compounds,70,5.01
16,DE,Mercury compounds,40,2.86
17,DE,DDAC (mix),16,1.14
18,DK,Hexachlorobenzene,3,3.66
19,DK,Copper compounds,2,2.44
20,DK,Lindane,1,1.22
21,EE,Hexachlorobenzene,3,20.0
22,EE,DDT (sum),2,13.33
23,EE,Bromuconazole (sum),1,6.67
24,FI,Hexachlorobenzene,1,25.0
25,FR,BAC 12,4,5.56
26,FR,Benzalkonium chloride,4,5.56
27,FR,DDAC (mix),4,5.56
28,FR,DDT (sum),2,2.78
29,FR,Hexachlorobenzene,1,1.39
30,GB,Benzalkonium chloride,56,20.51
31,GB,BAC 12,54,19.78
32,GB,BAC 14,39,14.29
33,GB,Chlorate,16,5.86
34,GB,DDAC (mix),10,3.66
35,IE,Mercury compounds,5,3.38
36,IE,Hexachlorobenzene,4,2.7
37,IE,BAC 12,2,1.35
38,IE,BAC 14,2,1.35
39,IE,Benzalkonium chloride,2,1.35
40,IT,Hexachlorobenzene,34,9.29
41,IT,DDT (sum),31,8.47
42,IT,BAC 12,18,4.92
43,IT,BAC 14,12,3.28
44,IT,Benzalkonium chloride,5,1.37
45,LT,DDT (sum),3,11.54
46,LT,Hexachlorobenzene,3,11.54
47,LV,DDT (sum),1,100.0
48,LV,Hexachlorobenzene,1,100.0
49,NL,Copper compounds,14,11.38
50,NL,HCH-beta,2,1.63
51,NL,Benzalkonium chloride,1,0.81
52,NL,DDAC (mix),1,0.81
53,NL,Mercury compounds,1,0.81
54,PL,DDT (sum),2,0.72
55,PL,Mercury compounds,1,0.36
