,origCountry,tag,sample_count,percentage
0,AT,Hexachlorobenzene,1,3.45
1,BE,DDT (sum),3,8.11
2,BE,Hexachlorobenzene,1,2.7
3,BG,DDT (sum),12,85.71
4,BG,HCH-beta,1,7.14
5,BG,Hexachlorobenzene,1,7.14
6,CY,DDT (sum),2,100.0
7,CZ,DDT (sum),39,92.86
8,CZ,Hexachlorobenzene,36,85.71
9,CZ,Chlorpropham (sum),1,2.38
10,CZ,Famoxadone,1,2.38
11,CZ,Indoxacarb (sum),1,2.38
12,DE,DDT (sum),59,25.99
13,DE,Hexachlorobenzene,55,24.23
14,DE,Dieldrin (sum),3,1.32
15,DE,Endosulfan (sum),2,0.88
16,DE,HCH-beta,1,0.44
17,DE,Heptachlor (sum of isomers),1,0.44
18,DE,Heptachlor (sum),1,0.44
19,DE,Quintozene (sum),1,0.44
20,DE,Tecnazene,1,0.44
21,EE,Hexachlorobenzene,3,20.0
22,EE,DDT (sum),2,13.33
23,EE,Bromuconazole (sum),1,6.67
24,ES,DDT (sum),8,9.88
25,ES,Cypermethrin (sum),1,1.23
26,FI,Hexachlorobenzene,1,3.23
27,FR,Dieldrin (sum),3,3.3
28,FR,Hexachlorobenzene,3,3.3
29,GB,Benzalkonium chloride,36,23.84
30,GB,BAC 12,35,23.18
31,GB,BAC 14,30,19.87
32,GB,DDAC (mix),3,1.99
33,GB,BAC 16,1,0.66
34,GB,DDT (sum),1,0.66
35,GB,Dieldrin (sum),1,0.66
36,GB,Piperonyl Butoxide,1,0.66
37,GR,DDT (sum),1,3.7
38,IE,Hexachlorobenzene,12,17.65
39,IE,DDT (sum),8,11.76
40,IE,BAC 12,2,2.94
41,IE,BAC 14,2,2.94
42,IE,Benzalkonium chloride,2,2.94
43,IE,2-phenylphenol (sum),1,1.47
44,IE,Heptachlor (sum),1,1.47
45,LT,DDT (sum),4,10.26
46,LT,Hexachlorobenzene,3,7.69
47,LT,HCH-alpha,1,2.56
48,LV,DDT (sum),1,5.88
49,LV,Hexachlorobenzene,1,5.88
50,NL,Hexachlorobenzene,4,8.89
51,NL,DDT (sum),3,6.67
52,NL,Dieldrin (sum),1,2.22
53,NL,Heptachlor (sum of isomers),1,2.22
54,PL,DDT (sum),6,4.23
55,PL,Hexachlorobenzene,2,1.41
56,SK,DDT (sum),10,71.43
