,origCountry,tag,sample_count,percentage
0,AT,Hexachlorobenzene,21,1.25
1,AT,Copper compounds,9,0.53
2,AT,DDT (sum),4,0.24
3,AT,Lindane,1,0.06
4,BE,DDT (sum),15,2.98
5,BE,HCH-beta,15,2.98
6,BE,Copper compounds,9,1.79
7,BE,Hexachlorobenzene,7,1.39
8,BE,Dieldrin (sum),6,1.19
9,CY,Copper compounds,9,4.59
10,CY,DDT (sum),7,3.57
11,CZ,Copper compounds,7,3.26
12,CZ,DDT (sum),4,1.86
13,DE,Hexachlorobenzene,765,22.59
14,DE,DDT (sum),465,13.73
15,DE,Copper compounds,252,7.44
16,DE,Benzalkonium chloride,51,1.51
17,DE,DDAC (mix),30,0.89
18,DK,Copper compounds,24,7.52
19,DK,Mercury compounds,5,1.57
20,FR,2-phenylphenol (sum),1,0.13
21,FR,Chlorpyrifos-methyl,1,0.13
22,FR,Dieldrin (sum),1,0.13
23,GB,BAC 12,13,0.5
24,GB,Benzalkonium chloride,11,0.42
25,GB,"2,4-D (sum)",1,0.04
26,GB,BAC 14,1,0.04
27,HR,Hexachlorobenzene,7,8.43
28,HR,Methoxychlor,3,3.61
29,HR,DDT (sum),2,2.41
30,HR,Chlordane (sum),1,1.2
31,HR,Chlorobenzilate,1,1.2
32,IE,Chlorate,30,3.29
33,IE,Fosetyl-Al (sum),4,0.44
34,IE,Benzalkonium chloride,2,0.22
35,IE,"2,4-D (sum)",1,0.11
36,IE,Bifenthrin (sum),1,0.11
37,IT,BAC 12,8,0.42
38,IT,BAC 14,3,0.16
39,IT,Copper compounds,3,0.16
40,IT,2-phenylphenol (sum),2,0.1
41,IT,Benzalkonium chloride,1,0.05
42,LU,Copper compounds,10,11.11
43,MK,Copper compounds,4,6.35
44,NL,Bromide ion,13,0.95
45,NL,Chlorate,4,0.29
46,NL,BAC 12,3,0.22
47,NL,BAC 14,3,0.22
48,NL,Benzalkonium chloride,3,0.22
49,NO,Copper compounds,2,0.65
50,PL,Chlorate,1,0.16
51,PL,DDAC (mix),1,0.16
52,PL,DDT (sum),1,0.16
53,PT,Chlorate,1,4.0
54,RO,DDT (sum),40,24.54
55,RO,HCH-alpha,18,11.04
56,RO,Chlordane (sum),13,7.98
57,RO,Hexachlorobenzene,10,6.13
58,RO,Heptachlor (sum of isomers),8,4.91
59,SK,DDAC (mix),2,15.38
60,SK,Famoxadone,1,7.69
