,origCountry,tag,sample_count,percentage
0,AT,Copper compounds,9,8.82
1,AT,Hexachlorobenzene,5,4.9
2,AT,Azinphos-ethyl,1,0.98
3,BE,Bromide ion,4,8.7
4,BE,Chlorate,1,2.17
5,CY,DDT (sum),2,3.7
6,CZ,DDT (sum),1,1.39
7,DE,Hexachlorobenzene,106,15.27
8,DE,Copper compounds,81,11.67
9,DE,DDT (sum),41,5.91
10,DE,Bromide ion,5,0.72
11,DE,Mercury compounds,4,0.58
12,DE,Benzalkonium chloride,2,0.29
13,DE,Lindane,2,0.29
14,DE,Azinphos-ethyl,1,0.14
15,DE,BAC 12,1,0.14
16,DE,BAC 14,1,0.14
17,DK,Copper compounds,1,0.99
18,ES,DDT (sum),1,0.45
19,FR,2-phenylphenol (sum),1,0.28
20,FR,Dieldrin (sum),1,0.28
21,GB,BAC 12,2,0.35
22,GB,BAC 14,1,0.17
23,HU,Benfuracarb,1,1.64
24,IE,Fosetyl-Al (sum),1,0.96
25,IT,Piperonyl Butoxide,1,0.31
26,NL,Bromide ion,13,16.05
27,NL,Chlorate,3,3.7
28,RO,DDT (sum),11,14.47
29,RO,Chlordane (sum),6,7.89
30,RO,Hexachlorobenzene,4,5.26
31,RO,HCH-alpha,3,3.95
32,RO,Heptachlor (sum of isomers),2,2.63
33,RO,HCH-beta,1,1.32
34,SK,DDT (sum),24,45.28
35,SK,Hexachlorobenzene,2,3.77
