,year,origCountry,positive_sample_count
3,2011,DE,178
1,2011,BE,11
5,2011,RO,8
0,2011,AT,2
2,2011,CY,1
4,2011,IE,1
8,2012,DE,275
9,2012,RO,10
6,2012,AT,3
7,2012,BE,2
10,2012,XX,1
12,2013,DE,175
11,2013,BE,10
14,2013,RO,5
16,2013,XX,3
15,2013,SK,2
13,2013,PL,1
20,2014,DE,224
17,2014,AT,6
18,2014,BE,5
21,2014,RO,4
19,2014,CY,3
23,2014,XX,3
22,2014,SK,1
27,2015,DE,116
29,2015,RO,11
30,2015,XX,11
28,2015,HR,10
24,2015,AT,7
25,2015,BE,2
26,2015,CY,1
34,2016,DE,65
38,2016,RO,8
32,2016,BE,6
37,2016,IT,4
31,2016,AT,3
35,2016,GB,3
33,2016,CY,2
36,2016,IE,1
39,2017,DE,56
44,2017,XX,11
42,2017,IT,4
40,2017,GB,2
41,2017,IE,2
43,2017,RO,1
47,2018,DE,22
48,2018,GB,7
49,2018,XX,5
45,2018,BE,2
46,2018,CZ,1
51,2019,DE,28
54,2019,LU,3
50,2019,BE,2
53,2019,GB,2
56,2019,XX,2
52,2019,FR,1
55,2019,RO,1
58,2020,HU,13
57,2020,DK,7
61,2021,DE,32
65,2021,IE,25
62,2021,DK,8
64,2021,HU,6
59,2021,BE,2
60,2021,CZ,2
66,2021,LU,2
67,2021,NL,2
63,2021,FR,1
70,2022,DE,16
76,2022,NL,13
68,2022,AT,9
69,2022,BE,6
73,2022,IE,5
74,2022,IT,4
75,2022,LU,2
71,2022,DK,1
72,2022,FR,1
82,2023,HU,17
79,2023,DE,11
80,2023,DK,9
78,2023,CY,5
84,2023,IT,4
77,2023,BE,3
81,2023,EU,3
83,2023,IE,3
86,2023,NO,2
85,2023,LU,1
87,2023,PT,1
