,year,sampCountry,total_samples,VAL_samples,limit_samples
0,2011,BE,51,15.0,14.0
1,2011,CZ,15,15.0,15.0
2,2011,DE,145,39.0,0.0
3,2011,HU,58,0.0,0.0
4,2011,IT,10,0.0,0.0
5,2011,PL,51,0.0,0.0
6,2012,BE,25,2.0,2.0
7,2012,BG,13,11.0,0.0
8,2012,CZ,18,18.0,0.0
9,2012,DE,160,45.0,6.0
10,2012,DK,14,0.0,0.0
11,2012,EE,15,8.0,1.0
12,2012,ES,3,0.0,0.0
13,2012,GB,92,8.0,0.0
14,2012,GR,15,0.0,0.0
15,2012,HU,1,0.0,0.0
16,2012,IE,15,1.0,1.0
17,2012,IT,17,0.0,0.0
18,2012,LT,15,0.0,0.0
19,2012,MT,15,0.0,0.0
20,2012,NL,21,0.0,0.0
21,2012,PL,89,0.0,0.0
22,2012,RO,16,0.0,0.0
23,2012,SI,15,0.0,0.0
24,2013,BE,50,11.0,9.0
25,2013,CZ,6,6.0,0.0
26,2013,DE,163,59.0,6.0
27,2013,HU,2,0.0,0.0
28,2013,IT,7,0.0,0.0
29,2013,PL,50,0.0,0.0
30,2013,RO,1,0.0,0.0
31,2013,SK,1,1.0,1.0
32,2014,AT,8,2.0,2.0
33,2014,BE,49,5.0,2.0
34,2014,CZ,9,7.0,0.0
35,2014,DE,286,110.0,1.0
36,2014,GB,72,15.0,2.0
37,2014,HU,1,0.0,0.0
38,2014,IT,59,1.0,0.0
39,2014,PL,30,0.0,0.0
40,2015,AT,84,9.0,9.0
41,2015,CZ,20,18.0,14.0
42,2015,DE,89,54.0,1.0
43,2015,DK,6,0.0,0.0
44,2015,EE,15,1.0,1.0
45,2015,ES,10,0.0,0.0
46,2015,GB,187,57.0,13.0
47,2015,GR,13,0.0,0.0
48,2015,HR,26,0.0,0.0
49,2015,HU,15,0.0,0.0
50,2015,IT,102,0.0,0.0
51,2015,MT,4,0.0,0.0
52,2015,NL,23,0.0,0.0
53,2015,PL,45,0.0,0.0
54,2015,SI,15,0.0,0.0
55,2016,AT,49,0.0,0.0
56,2016,CZ,20,17.0,1.0
57,2016,DE,38,7.0,1.0
58,2016,ES,16,0.0,0.0
59,2016,IE,6,0.0,0.0
60,2016,IT,29,4.0,2.0
61,2016,MT,2,0.0,0.0
62,2016,PL,5,0.0,0.0
63,2016,SI,10,0.0,0.0
64,2017,AT,2,0.0,0.0
65,2017,CZ,19,15.0,0.0
66,2017,DE,40,9.0,0.0
67,2017,ES,3,0.0,0.0
68,2017,IT,30,6.0,0.0
69,2018,AT,1,0.0,0.0
70,2018,CZ,17,11.0,0.0
71,2018,DE,204,37.0,0.0
72,2018,ES,1,0.0,0.0
73,2018,GB,36,17.0,0.0
74,2018,IT,18,3.0,0.0
75,2019,CZ,12,12.0,2.0
76,2019,DE,41,8.0,0.0
77,2019,FR,4,0.0,0.0
78,2019,IT,12,3.0,0.0
79,2020,CZ,12,11.0,2.0
80,2020,IT,5,1.0,0.0
81,2020,SI,6,0.0,0.0
82,2021,CZ,12,9.0,0.0
83,2021,DE,234,58.0,5.0
84,2021,DK,1,0.0,0.0
85,2021,IT,8,0.0,0.0
86,2022,CZ,12,12.0,0.0
87,2022,DE,45,11.0,0.0
88,2022,IT,9,1.0,1.0
89,2023,CZ,11,0.0,0.0
90,2023,DE,115,2.0,0.0
91,2023,IT,8,2.0,1.0
