,year,sampCountry,total_samples,VAL_samples,limit_samples
0,2011,AT,282,2.0,0.0
1,2011,BE,33,11.0,9.0
2,2011,CY,34,1.0,0.0
3,2011,DE,220,178.0,0.0
4,2011,DK,1,0.0,0.0
5,2011,ES,2,0.0,0.0
6,2011,GB,248,0.0,0.0
7,2011,GR,10,0.0,0.0
8,2011,IE,59,1.0,1.0
9,2011,IT,5,0.0,0.0
10,2011,PL,21,0.0,0.0
11,2011,RO,19,8.0,0.0
12,2012,AT,285,1.0,0.0
13,2012,BE,34,2.0,2.0
14,2012,CY,15,0.0,0.0
15,2012,DE,536,278.0,13.0
16,2012,DK,1,0.0,0.0
17,2012,ES,2,0.0,0.0
18,2012,GB,249,0.0,0.0
19,2012,HU,8,0.0,0.0
20,2012,IE,67,0.0,0.0
21,2012,IT,18,0.0,0.0
22,2012,PL,11,0.0,0.0
23,2012,RO,23,10.0,0.0
24,2013,AT,288,0.0,0.0
25,2013,BE,59,10.0,8.0
26,2013,BG,14,0.0,0.0
27,2013,CY,15,0.0,0.0
28,2013,CZ,16,0.0,0.0
29,2013,DE,316,176.0,1.0
30,2013,DK,15,0.0,0.0
31,2013,EE,13,0.0,0.0
32,2013,ES,1,0.0,0.0
33,2013,FR,68,2.0,0.0
34,2013,GB,266,0.0,0.0
35,2013,HU,5,0.0,0.0
36,2013,IE,65,0.0,0.0
37,2013,IT,61,0.0,0.0
38,2013,LT,15,0.0,0.0
39,2013,MT,16,0.0,0.0
40,2013,NL,35,0.0,0.0
41,2013,PL,30,0.0,0.0
42,2013,RO,32,5.0,0.0
43,2013,SI,10,0.0,0.0
44,2013,SK,5,3.0,1.0
45,2014,AT,293,0.0,0.0
46,2014,BE,90,7.0,0.0
47,2014,CY,30,3.0,0.0
48,2014,CZ,7,0.0,0.0
49,2014,DE,330,231.0,25.0
50,2014,DK,13,0.0,0.0
51,2014,ES,19,0.0,0.0
52,2014,GB,270,0.0,0.0
53,2014,GR,3,0.0,0.0
54,2014,HU,54,1.0,0.0
55,2014,IE,55,0.0,0.0
56,2014,IT,102,0.0,0.0
57,2014,PL,30,0.0,0.0
58,2014,RO,14,4.0,0.0
59,2014,SI,5,0.0,0.0
60,2015,AT,339,7.0,7.0
61,2015,BE,19,2.0,1.0
62,2015,CY,26,1.0,0.0
63,2015,CZ,15,0.0,0.0
64,2015,DE,398,127.0,19.0
65,2015,DK,15,0.0,0.0
66,2015,ES,21,0.0,0.0
