,year,origCountry,total_samples,VAL_samples,limit_samples
0,2011,AT,2,1.0,0.0
1,2011,BE,47,14.0,13.0
2,2011,CZ,15,15.0,15.0
3,2011,DE,107,23.0,0.0
4,2011,DK,1,0.0,0.0
5,2011,FR,3,0.0,0.0
6,2011,HU,57,0.0,0.0
7,2011,IE,8,0.0,0.0
8,2011,IT,31,15.0,0.0
9,2011,NL,5,1.0,1.0
10,2011,PL,51,0.0,0.0
11,2012,AT,4,0.0,0.0
12,2012,BE,23,3.0,2.0
13,2012,BG,13,11.0,0.0
14,2012,CZ,18,18.0,0.0
15,2012,DE,125,24.0,6.0
16,2012,DK,27,0.0,0.0
17,2012,EE,5,3.0,0.0
18,2012,ES,2,0.0,0.0
19,2012,FI,2,1.0,0.0
20,2012,FR,7,2.0,0.0
21,2012,GB,58,1.0,1.0
22,2012,GR,15,0.0,0.0
23,2012,IE,23,1.0,0.0
24,2012,IT,38,16.0,0.0
25,2012,LT,22,3.0,1.0
26,2012,LV,1,1.0,0.0
27,2012,NL,26,0.0,0.0
28,2012,PL,89,0.0,0.0
29,2012,RO,16,0.0,0.0
30,2012,SI,9,0.0,0.0
31,2012,SK,1,0.0,0.0
32,2013,AT,4,0.0,0.0
33,2013,BE,36,9.0,7.0
34,2013,CZ,7,7.0,1.0
35,2013,DE,123,51.0,5.0
36,2013,DK,4,0.0,0.0
37,2013,ES,1,0.0,0.0
38,2013,FR,6,0.0,0.0
39,2013,HU,1,0.0,0.0
40,2013,IE,1,1.0,0.0
41,2013,IT,11,2.0,0.0
42,2013,NL,18,2.0,1.0
43,2013,PL,48,0.0,0.0
44,2013,RO,1,0.0,0.0
45,2013,SK,1,0.0,0.0
46,2014,AT,10,2.0,2.0
47,2014,CZ,10,7.0,0.0
48,2014,DE,215,89.0,0.0
49,2014,DK,7,4.0,0.0
50,2014,FR,4,0.0,0.0
51,2014,GB,56,13.0,0.0
52,2014,IE,10,0.0,0.0
53,2014,IT,60,1.0,0.0
54,2014,NL,42,15.0,1.0
55,2014,PL,31,0.0,0.0
56,2015,AT,86,10.0,9.0
57,2015,BE,5,0.0,0.0
58,2015,CY,1,0.0,0.0
59,2015,CZ,21,19.0,14.0
60,2015,DE,107,50.0,1.0
61,2015,DK,26,0.0,0.0
62,2015,EE,10,1.0,1.0
63,2015,ES,9,0.0,0.0
64,2015,FI,2,0.0,0.0
65,2015,FR,41,7.0,0.0
66,2015,GB,123,47.0,12.0
67,2015,GR,10,0.0,0.0
68,2015,HR,16,0.0,0.0
69,2015,HU,8,0.0,0.0
70,2015,IE,9,2.0,1.0
71,2015,IT,101,2.0,0.0
72,2015,LT,1,0.0,0.0
73,2015,NL,15,0.0,0.0
74,2015,PL,47,1.0,0.0
75,2015,SI,11,0.0,0.0
76,2016,AT,48,0.0,0.0
77,2016,CZ,20,17.0,1.0
78,2016,DE,37,7.0,1.0
79,2016,ES,16,0.0,0.0
80,2016,FR,1,0.0,0.0
81,2016,HR,1,0.0,0.0
82,2016,IE,9,0.0,0.0
83,2016,IT,31,4.0,2.0
84,2016,PL,5,0.0,0.0
85,2016,SI,6,0.0,0.0
86,2017,AT,2,0.0,0.0
87,2017,BE,1,0.0,0.0
88,2017,CZ,19,15.0,0.0
89,2017,DE,38,9.0,0.0
90,2017,ES,3,0.0,0.0
91,2017,IE,2,0.0,0.0
92,2017,IT,29,6.0,0.0
93,2018,AT,1,0.0,0.0
94,2018,BE,1,0.0,0.0
95,2018,CZ,17,11.0,0.0
96,2018,DE,163,34.0,0.0
97,2018,DK,2,0.0,0.0
98,2018,ES,1,0.0,0.0
99,2018,FR,3,0.0,0.0
100,2018,GB,35,17.0,0.0
101,2018,IE,19,2.0,0.0
102,2018,IT,17,3.0,0.0
103,2018,NL,2,0.0,0.0
104,2019,AT,1,0.0,0.0
105,2019,CZ,12,12.0,2.0
106,2019,DE,32,7.0,0.0
107,2019,DK,1,0.0,0.0
108,2019,FR,3,0.0,0.0
109,2019,GB,1,0.0,0.0
110,2019,IE,7,0.0,0.0
111,2019,IT,11,4.0,0.0
112,2019,NL,1,0.0,0.0
113,2020,AT,1,0.0,0.0
114,2020,CZ,12,11.0,2.0
115,2020,IT,5,1.0,0.0
116,2020,SI,3,0.0,0.0
117,2021,AT,1,0.0,0.0
118,2021,BE,1,0.0,0.0
119,2021,CZ,12,9.0,0.0
120,2021,DE,184,46.0,4.0
121,2021,DK,3,0.0,0.0
122,2021,FR,1,1.0,1.0
123,2021,IE,27,7.0,0.0
124,2021,IT,8,0.0,0.0
125,2021,LT,2,0.0,0.0
126,2021,NL,7,1.0,0.0
127,2021,PL,3,2.0,0.0
128,2022,AT,1,0.0,0.0
129,2022,BG,1,1.0,0.0
130,2022,CZ,12,12.0,0.0
131,2022,DE,36,9.0,0.0
132,2022,DK,2,0.0,0.0
133,2022,FR,1,0.0,0.0
134,2022,IE,2,1.0,0.0
135,2022,IT,9,1.0,1.0
136,2022,NL,1,0.0,0.0
137,2023,CZ,9,0.0,0.0
138,2023,DE,89,2.0,0.0
139,2023,DK,3,0.0,0.0
140,2023,IE,16,0.0,0.0
141,2023,IT,8,2.0,1.0
142,2023,LT,1,0.0,0.0
143,2023,NL,2,0.0,0.0
144,2023,PL,3,0.0,0.0
