,year,origCountry,total_samples,VAL_samples,limit_samples
0,2011,AT,282,2.0,0.0
1,2011,BE,33,11.0,9.0
2,2011,CY,34,1.0,0.0
3,2011,DE,219,178.0,0.0
4,2011,DK,1,0.0,0.0
5,2011,ES,2,0.0,0.0
6,2011,GB,248,0.0,0.0
7,2011,GR,10,0.0,0.0
8,2011,IE,59,1.0,1.0
9,2011,IT,5,0.0,0.0
10,2011,PL,21,0.0,0.0
11,2011,RO,19,8.0,0.0
12,2012,AT,288,3.0,0.0
13,2012,BE,33,2.0,2.0
14,2012,CY,15,0.0,0.0
15,2012,DE,526,275.0,13.0
16,2012,DK,2,0.0,0.0
17,2012,ES,2,0.0,0.0
18,2012,FR,2,0.0,0.0
19,2012,GB,247,0.0,0.0
20,2012,HU,8,0.0,0.0
21,2012,IE,67,0.0,0.0
22,2012,IT,2,0.0,0.0
23,2012,NL,4,0.0,0.0
24,2012,PL,11,0.0,0.0
25,2012,RO,23,10.0,0.0
26,2013,AT,295,0.0,0.0
27,2013,BE,60,10.0,8.0
28,2013,BG,17,0.0,0.0
29,2013,CY,15,0.0,0.0
30,2013,CZ,18,0.0,0.0
31,2013,DE,319,175.0,1.0
32,2013,DK,15,0.0,0.0
33,2013,EE,12,0.0,0.0
34,2013,ES,1,0.0,0.0
35,2013,FR,5,0.0,0.0
36,2013,GB,266,0.0,0.0
37,2013,HR,1,0.0,0.0
38,2013,HU,4,0.0,0.0
39,2013,IE,65,0.0,0.0
40,2013,IT,39,0.0,0.0
41,2013,LT,15,0.0,0.0
42,2013,LV,1,0.0,0.0
43,2013,MT,3,0.0,0.0
44,2013,NL,29,0.0,0.0
45,2013,PL,28,1.0,0.0
46,2013,RO,32,5.0,0.0
47,2013,SI,8,0.0,0.0
48,2013,SK,3,2.0,1.0
49,2014,AT,305,6.0,0.0
50,2014,BE,50,5.0,0.0
51,2014,CY,30,3.0,0.0
52,2014,CZ,14,0.0,0.0
53,2014,DE,324,224.0,25.0
54,2014,DK,13,0.0,0.0
55,2014,ES,19,0.0,0.0
56,2014,FR,2,0.0,0.0
57,2014,GB,270,0.0,0.0
58,2014,GR,3,0.0,0.0
59,2014,HU,40,0.0,0.0
60,2014,IE,55,0.0,0.0
61,2014,IT,91,0.0,0.0
62,2014,PL,31,0.0,0.0
63,2014,RO,14,4.0,0.0
64,2014,SI,4,0.0,0.0
65,2014,SK,6,1.0,0.0
66,2015,AT,346,7.0,7.0
